Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2025M08	2.046.134
National Total		Guests	Total		2025M07	1.991.309
National Total		Guests	Total		2025M06	1.564.497
National Total		Guests	Total		2025M05	1.330.436
National Total		Guests	Total		2025M04	1.203.365
National Total		Guests	Total		2025M03	921.214
National Total		Guests	Total		2025M02	816.452
National Total		Guests	Total		2025M01	709.400
National Total		Guests	Total		2024M12	829.723
National Total		Guests	Total		2024M11	810.729
National Total		Guests	Total		2024M10	1.144.709
National Total		Guests	Total		2024M09	1.416.497
National Total		Guests	Total		2024M08	1.946.348
National Total		Guests	Total		2024M07	1.769.655
National Total		Guests	Total		2024M06	1.506.896
National Total		Guests	Total		2024M05	1.334.167
National Total		Guests	Total		2024M04	967.864
National Total		Guests	Total		2024M03	965.748
National Total		Guests	Total		2024M02	764.037
National Total		Guests	Total		2024M01	695.212
National Total		Guests	Total		2023M12	829.651
National Total		Guests	Total		2023M11	727.779
National Total		Guests	Total		2023M10	1.103.179
National Total		Guests	Total		2023M09	1.362.148
National Total		Guests	Total		2023M08	1.863.976
National Total		Guests	Total		2023M07	1.753.152
National Total		Guests	Total		2023M06	1.356.140
National Total		Guests	Total		2023M05	1.142.732
National Total		Guests	Total		2023M04	1.147.937
National Total		Guests	Total		2023M03	771.921
National Total		Guests	Total		2023M02	705.308
National Total		Guests	Total		2023M01	657.539
National Total		Guests	Total		2022M12	745.200
National Total		Guests	Total		2022M11	673.598
National Total		Guests	Total		2022M10	1.023.153
National Total		Guests	Total		2022M09	1.327.928
National Total		Guests	Total		2022M08	1.817.876
National Total		Guests	Total		2022M07	1.807.474
National Total		Guests	Total		2022M06	1.368.584
National Total		Guests	Total		2022M05	1.098.660
National Total		Guests	Total		2022M04	1.007.643
National Total		Guests	Total		2022M03	643.747
National Total		Guests	Total		2022M02	611.612
National Total		Guests	Total		2022M01	482.013
National Total		Guests	Total		2021M12	635.481
National Total		Guests	Total		2021M11	588.940
National Total		Guests	Total		2021M10	905.634
National Total		Guests	Total		2021M09	970.200
National Total		Guests	Total		2021M08	1.530.177
National Total		Guests	Total		2021M07	1.278.036
National Total		Guests	Total		2021M06	671.430
National Total		Guests	Total		2021M05	351.861
National Total		Guests	Total		2021M04	211.556
National Total		Guests	Total		2021M03	166.577
National Total		Guests	Total		2021M02	102.731
National Total		Guests	Total		2021M01	112.310
National Total		Guests	Total		2020M12	153.107
National Total		Guests	Total		2020M11	113.653
National Total		Guests	Total		2020M10	260.193
National Total		Guests	Total		2020M09	433.107
National Total		Guests	Total		2020M08	964.453
National Total		Guests	Total		2020M07	688.700
National Total		Guests	Total		2020M06	119.485
National Total		Guests	Total		2020M05	15.162
National Total		Guests	Total		2020M04	0
National Total		Guests	Total		2020M03	197.077
National Total		Guests	Total		2020M02	682.518
National Total		Guests	Total		2020M01	591.022
National Total		Guests	Total		2019M12	715.779
National Total		Guests	Total		2019M11	676.928
National Total		Guests	Total		2019M10	987.298
National Total		Guests	Total		2019M09	1.286.059
National Total		Guests	Total		2019M08	1.845.564
National Total		Guests	Total		2019M07	1.619.121
National Total		Guests	Total		2019M06	1.356.915
National Total		Guests	Total		2019M05	1.071.350
National Total		Guests	Total		2019M04	962.093
National Total		Guests	Total		2019M03	777.521
National Total		Guests	Total		2019M02	628.221
National Total		Guests	Total		2019M01	552.504
National Total		Guests	Total		2018M12	705.050
National Total		Guests	Total		2018M11	655.672
National Total		Guests	Total		2018M10	984.904
National Total		Guests	Total		2018M09	1.303.257
National Total		Guests	Total		2018M08	1.734.152
National Total		Guests	Total		2018M07	1.607.264
National Total		Guests	Total		2018M06	1.326.290
National Total		Guests	Total		2018M05	1.057.555
National Total		Guests	Total		2018M04	894.266
National Total		Guests	Total		2018M03	814.768
National Total		Guests	Total		2018M02	632.829
National Total		Guests	Total		2018M01	572.883
National Total		Guests	Total		2017M12	714.602
National Total		Guests	Total		2017M11	645.356
National Total		Guests	Total		2017M10	1.028.122
National Total		Guests	Total		2017M09	1.340.836
National Total		Guests	Total		2017M08	1.756.061
National Total		Guests	Total		2017M07	1.676.886
National Total		Guests	Total		2017M06	1.375.753
National Total		Guests	Total		2017M05	1.095.549
National Total		Guests	Total		2017M04	1.090.755
National Total		Guests	Total		2017M03	725.390
National Total		Guests	Total		2017M02	629.513
National Total		Guests	Total		2017M01	583.293
National Total		Guests	Total		2016M12	702.202
National Total		Guests	Total		2016M11	620.178
National Total		Guests	Total		2016M10	988.426
National Total		Guests	Total		2016M09	1.233.587
National Total		Guests	Total		2016M08	1.665.185
National Total		Guests	Total		2016M07	1.589.568
National Total		Guests	Total		2016M06	1.209.863
National Total		Guests	Total		2016M05	1.012.782
National Total		Guests	Total		2016M04	794.764
National Total		Guests	Total		2016M03	765.943
National Total		Guests	Total		2016M02	587.684
National Total		Guests	Total		2016M01	538.905
National Total		Guests	Total		2015M12	603.167
National Total		Guests	Total		2015M11	558.682
National Total		Guests	Total		2015M10	887.823
National Total		Guests	Total		2015M09	1.060.844
National Total		Guests	Total		2015M08	1.590.097
National Total		Guests	Total		2015M07	1.399.622
National Total		Guests	Total		2015M06	1.058.050
National Total		Guests	Total		2015M05	889.185
