Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2015M04	742.805
National Total		Guests	Total		2015M03	580.879
National Total		Guests	Total		2015M02	503.034
National Total		Guests	Total		2015M01	466.527
National Total		Guests	Total		2014M12	526.085
National Total		Guests	Total		2014M11	505.275
National Total		Guests	Total		2014M10	753.541
National Total		Guests	Total		2014M09	1.026.900
National Total		Guests	Total		2014M08	1.537.203
National Total		Guests	Total		2014M07	1.304.654
National Total		Guests	Total		2014M06	1.010.128
National Total		Guests	Total		2014M05	822.815
National Total		Guests	Total		2014M04	721.119
National Total		Guests	Total		2014M03	564.020
National Total		Guests	Total		2014M02	468.440
National Total		Guests	Total		2014M01	436.881
National Total		Guests	Total		2013M12	518.721
National Total		Guests	Total		2013M11	499.716
National Total		Guests	Total		2013M10	704.223
National Total		Guests	Total		2013M09	967.166
National Total		Guests	Total		2013M08	1.479.363
National Total		Guests	Total		2013M07	1.290.883
National Total		Guests	Total		2013M06	982.913
National Total		Guests	Total		2013M05	770.128
National Total		Guests	Total		2013M04	544.903
National Total		Guests	Total		2013M03	650.775
National Total		Guests	Total		2013M02	463.443
National Total		Guests	Total		2013M01	412.908
National Total		Guests	Total		2012M12	497.017
National Total		Guests	Total		2012M11	463.145
National Total		Guests	Total		2012M10	656.024
National Total		Guests	Total		2012M09	959.237
National Total		Guests	Total		2012M08	1.390.813
National Total		Guests	Total		2012M07	1.239.249
National Total		Guests	Total		2012M06	953.093
National Total		Guests	Total		2012M05	657.609
National Total		Guests	Total		2012M04	614.044
National Total		Guests	Total		2012M03	546.280
National Total		Guests	Total		2012M02	458.225
National Total		Guests	Total		2012M01	427.791
National Total		Guests	Total		2011M12	490.444
National Total		Guests	Total		2011M11	453.958
National Total		Guests	Total		2011M10	670.907
National Total		Guests	Total		2011M09	940.013
National Total		Guests	Total		2011M08	1.388.000
National Total		Guests	Total		2011M07	1.249.090
National Total		Guests	Total		2011M06	917.853
National Total		Guests	Total		2011M05	666.654
National Total		Guests	Total		2011M04	676.484
National Total		Guests	Total		2011M03	521.880
National Total		Guests	Total		2011M02	460.772
National Total		Guests	Total		2011M01	415.048
National Total		Guests	Total		2010M12	471.846
National Total		Guests	Total		2010M11	424.129
National Total		Guests	Total		2010M10	642.648
National Total		Guests	Total		2010M09	810.297
National Total		Guests	Total		2010M08	1.255.559
National Total		Guests	Total		2010M07	1.130.397
National Total		Guests	Total		2010M06	823.217
National Total		Guests	Total		2010M05	663.015
National Total		Guests	Total		2010M04	577.208
National Total		Guests	Total		2010M03	517.219
National Total		Guests	Total		2010M02	442.722
National Total		Guests	Total		2010M01	391.061
National Total		Guests	Total		2009M12	476.627
National Total		Guests	Total		2009M11	419.872
National Total		Guests	Total		2009M10	577.525
National Total		Guests	Total		2009M09	759.923
National Total		Guests	Total		2009M08	1.186.766
National Total		Guests	Total		2009M07	1.003.039
National Total		Guests	Total		2009M06	739.952
National Total		Guests	Total		2009M05	610.529
National Total		Guests	Total		2009M04	567.102
National Total		Guests	Total		2009M03	457.865
National Total		Guests	Total		2009M02	438.746
National Total		Guests	Total		2009M01	402.382
National Total		Guests	Total		2008M12	465.928
National Total		Guests	Total		2008M11	456.027
National Total		Guests	Total		2008M10	613.089
National Total		Guests	Total		2008M09	812.471
National Total		Guests	Total		2008M08	1.224.652
National Total		Guests	Total		2008M07	1.057.161
National Total		Guests	Total		2008M06	814.780
National Total		Guests	Total		2008M05	695.312
National Total		Guests	Total		2008M04	524.942
National Total		Guests	Total		2008M03	621.500
National Total		Guests	Total		2008M02	520.662
National Total		Guests	Total		2008M01	465.635
National Total		Guests	Total		2007M12	521.907
National Total		Guests	Total		2007M11	501.206
National Total		Guests	Total		2007M10	703.239
National Total		Guests	Total		2007M09	877.820
National Total		Guests	Total		2007M08	1.217.483
National Total		Guests	Total		2007M07	1.072.912
National Total		Guests	Total		2007M06	864.322
National Total		Guests	Total		2007M05	638.411
National Total		Guests	Total		2007M04	655.456
National Total		Guests	Total		2007M03	579.702
National Total		Guests	Total		2007M02	506.393
National Total		Guests	Total		2007M01	472.689
National Total		Guests	Total		2006M12	558.709
National Total		Guests	Total		2006M11	511.200
National Total		Guests	Total		2006M10	732.837
National Total		Guests	Total		2006M09	962.501
National Total		Guests	Total		2006M08	1.273.171
National Total		Guests	Total		2006M07	1.131.247
National Total		Guests	Total		2006M06	845.251
National Total		Guests	Total		2006M05	654.554
National Total		Guests	Total		2006M04	737.834
National Total		Guests	Total		2006M03	557.221
National Total		Guests	Total		2006M02	519.019
National Total		Guests	Total		2006M01	481.215
National Total		Guests	Total		2005M12	513.815
National Total		Guests	Total		2005M11	504.261
National Total		Guests	Total		2005M10	695.186
National Total		Guests	Total		2005M09	872.160
National Total		Guests	Total		2005M08	1.225.554
National Total		Guests	Total		2005M07	1.089.689
National Total		Guests	Total		2005M06	767.852
National Total		Guests	Total		2005M05	617.941
National Total		Guests	Total		2005M04	516.769
National Total		Guests	Total		2005M03	594.548
National Total		Guests	Total		2005M02	515.624
National Total		Guests	Total		2005M01	477.587
National Total		Guests	Total		2004M12	509.964
National Total		Guests	Total		2004M11	466.200
National Total		Guests	Total		2004M10	715.939
National Total		Guests	Total		2004M09	826.519
National Total		Guests	Total		2004M08	1.211.556
National Total		Guests	Total		2004M07	1.029.182
National Total		Guests	Total		2004M06	766.810
National Total		Guests	Total		2004M05	658.319
National Total		Guests	Total		2004M04	667.860
National Total		Guests	Total		2004M03	582.015
National Total		Guests	Total		2004M02	537.572
National Total		Guests	Total		2004M01	522.246
National Total		Guests	Total		2003M12	527.525
National Total		Guests	Total		2003M11	524.994
National Total		Guests	Total		2003M10	728.225
National Total		Guests	Total		2003M09	878.991
National Total		Guests	Total		2003M08	1.252.510
National Total		Guests	Total		2003M07	1.047.681
National Total		Guests	Total		2003M06	838.540
National Total		Guests	Total		2003M05	710.967
National Total		Guests	Total		2003M04	704.263
National Total		Guests	Total		2003M03	602.489
National Total		Guests	Total		2003M02	533.227
National Total		Guests	Total		2003M01	516.703
National Total		Guests	Total		2002M12	559.192
National Total		Guests	Total		2002M11	547.244
National Total		Guests	Total		2002M10	735.433
National Total		Guests	Total		2002M09	867.920
National Total		Guests	Total		2002M08	1.221.589
National Total		Guests	Total		2002M07	1.030.684
National Total		Guests	Total		2002M06	834.137
National Total		Guests	Total		2002M05	668.504
National Total		Guests	Total		2002M04	581.374
National Total		Guests	Total		2002M03	707.571
National Total		Guests	Total		2002M02	580.919
National Total		Guests	Total		2002M01	537.939
National Total		Guests	Total		2001M12	541.176
National Total		Guests	Total		2001M11	564.098
National Total		Guests	Total		2001M10	739.419
National Total		Guests	Total		2001M09	944.611
National Total		Guests	Total		2001M08	1.105.213
National Total		Guests	Total		2001M07	1.067.060
National Total		Guests	Total		2001M06	877.862
National Total		Guests	Total		2001M05	695.100
National Total		Guests	Total		2001M04	753.562
National Total		Guests	Total		2001M03	616.600
National Total		Guests	Total		2001M02	561.661
National Total		Guests	Total		2001M01	512.646
National Total		Guests	Total		2000M12	533.907
National Total		Guests	Total		2000M11	528.514
National Total		Guests	Total		2000M10	768.309
National Total		Guests	Total		2000M09	961.433
National Total		Guests	Total		2000M08	1.181.012
National Total		Guests	Total		2000M07	1.176.463
National Total		Guests	Total		2000M06	970.732
National Total		Guests	Total		2000M05	821.106
National Total		Guests	Total		2000M04	783.717
National Total		Guests	Total		2000M03	614.825
National Total		Guests	Total		2000M02	580.778
National Total		Guests	Total		2000M01	575.083
National Total		Guests	Total	Residents in Spain	2025M08	992.754
National Total		Guests	Total	Residents in Spain	2025M07	848.239
National Total		Guests	Total	Residents in Spain	2025M06	686.557
National Total		Guests	Total	Residents in Spain	2025M05	501.570
National Total		Guests	Total	Residents in Spain	2025M04	518.829
National Total		Guests	Total	Residents in Spain	2025M03	331.274
National Total		Guests	Total	Residents in Spain	2025M02	300.282
National Total		Guests	Total	Residents in Spain	2025M01	243.386
National Total		Guests	Total	Residents in Spain	2024M12	359.867
National Total		Guests	Total	Residents in Spain	2024M11	308.498
National Total		Guests	Total	Residents in Spain	2024M10	363.227
National Total		Guests	Total	Residents in Spain	2024M09	569.984
National Total		Guests	Total	Residents in Spain	2024M08	919.326
National Total		Guests	Total	Residents in Spain	2024M07	777.442
National Total		Guests	Total	Residents in Spain	2024M06	637.207
National Total		Guests	Total	Residents in Spain	2024M05	480.812
National Total		Guests	Total	Residents in Spain	2024M04	349.555
National Total		Guests	Total	Residents in Spain	2024M03	414.140
National Total		Guests	Total	Residents in Spain	2024M02	283.764
National Total		Guests	Total	Residents in Spain	2024M01	247.364
National Total		Guests	Total	Residents in Spain	2023M12	363.632
National Total		Guests	Total	Residents in Spain	2023M11	259.326
National Total		Guests	Total	Residents in Spain	2023M10	393.018
National Total		Guests	Total	Residents in Spain	2023M09	575.457
National Total		Guests	Total	Residents in Spain	2023M08	926.110
National Total		Guests	Total	Residents in Spain	2023M07	828.758
National Total		Guests	Total	Residents in Spain	2023M06	606.747
National Total		Guests	Total	Residents in Spain	2023M05	409.442
National Total		Guests	Total	Residents in Spain	2023M04	548.974
National Total		Guests	Total	Residents in Spain	2023M03	298.855
National Total		Guests	Total	Residents in Spain	2023M02	279.822
National Total		Guests	Total	Residents in Spain	2023M01	248.866
National Total		Guests	Total	Residents in Spain	2022M12	328.659
National Total		Guests	Total	Residents in Spain	2022M11	240.379
National Total		Guests	Total	Residents in Spain	2022M10	368.241
National Total		Guests	Total	Residents in Spain	2022M09	556.290
National Total		Guests	Total	Residents in Spain	2022M08	910.315
National Total		Guests	Total	Residents in Spain	2022M07	843.287
National Total		Guests	Total	Residents in Spain	2022M06	634.390
National Total		Guests	Total	Residents in Spain	2022M05	425.483
National Total		Guests	Total	Residents in Spain	2022M04	485.249
National Total		Guests	Total	Residents in Spain	2022M03	245.904
National Total		Guests	Total	Residents in Spain	2022M02	255.559
National Total		Guests	Total	Residents in Spain	2022M01	207.554
National Total		Guests	Total	Residents in Spain	2021M12	324.626
National Total		Guests	Total	Residents in Spain	2021M11	234.940
National Total		Guests	Total	Residents in Spain	2021M10	432.997
National Total		Guests	Total	Residents in Spain	2021M09	564.063
National Total		Guests	Total	Residents in Spain	2021M08	1.048.708
National Total		Guests	Total	Residents in Spain	2021M07	889.744
National Total		Guests	Total	Residents in Spain	2021M06	510.534
National Total		Guests	Total	Residents in Spain	2021M05	261.612
National Total		Guests	Total	Residents in Spain	2021M04	168.096
National Total		Guests	Total	Residents in Spain	2021M03	129.207
National Total		Guests	Total	Residents in Spain	2021M02	73.061
National Total		Guests	Total	Residents in Spain	2021M01	76.755
National Total		Guests	Total	Residents in Spain	2020M12	95.398
National Total		Guests	Total	Residents in Spain	2020M11	.
National Total		Guests	Total	Residents in Spain	2020M10	195.968
National Total		Guests	Total	Residents in Spain	2020M09	354.397
National Total		Guests	Total	Residents in Spain	2020M08	748.104
National Total		Guests	Total	Residents in Spain	2020M07	506.894
National Total		Guests	Total	Residents in Spain	2020M06	108.093
National Total		Guests	Total	Residents in Spain	2020M05	.
National Total		Guests	Total	Residents in Spain	2020M04	0
National Total		Guests	Total	Residents in Spain	2020M03	61.539
National Total		Guests	Total	Residents in Spain	2020M02	243.027
National Total		Guests	Total	Residents in Spain	2020M01	190.249
National Total		Guests	Total	Residents in Spain	2019M12	291.501
National Total		Guests	Total	Residents in Spain	2019M11	236.062
National Total		Guests	Total	Residents in Spain	2019M10	309.995
National Total		Guests	Total	Residents in Spain	2019M09	480.084
National Total		Guests	Total	Residents in Spain	2019M08	834.401
National Total		Guests	Total	Residents in Spain	2019M07	672.023
National Total		Guests	Total	Residents in Spain	2019M06	545.008
National Total		Guests	Total	Residents in Spain	2019M05	378.883
National Total		Guests	Total	Residents in Spain	2019M04	390.879
National Total		Guests	Total	Residents in Spain	2019M03	272.196
National Total		Guests	Total	Residents in Spain	2019M02	202.033
National Total		Guests	Total	Residents in Spain	2019M01	159.484
National Total		Guests	Total	Residents in Spain	2018M12	279.916
National Total		Guests	Total	Residents in Spain	2018M11	216.671
National Total		Guests	Total	Residents in Spain	2018M10	304.669
National Total		Guests	Total	Residents in Spain	2018M09	482.052
National Total		Guests	Total	Residents in Spain	2018M08	777.595
National Total		Guests	Total	Residents in Spain	2018M07	662.484
National Total		Guests	Total	Residents in Spain	2018M06	511.590
National Total		Guests	Total	Residents in Spain	2018M05	331.768
National Total		Guests	Total	Residents in Spain	2018M04	315.024
National Total		Guests	Total	Residents in Spain	2018M03	312.809
National Total		Guests	Total	Residents in Spain	2018M02	198.534
National Total		Guests	Total	Residents in Spain	2018M01	162.496
National Total		Guests	Total	Residents in Spain	2017M12	280.473
National Total		Guests	Total	Residents in Spain	2017M11	187.852
National Total		Guests	Total	Residents in Spain	2017M10	300.886
National Total		Guests	Total	Residents in Spain	2017M09	484.616
National Total		Guests	Total	Residents in Spain	2017M08	752.847
National Total		Guests	Total	Residents in Spain	2017M07	662.595
National Total		Guests	Total	Residents in Spain	2017M06	507.584
National Total		Guests	Total	Residents in Spain	2017M05	337.768
National Total		Guests	Total	Residents in Spain	2017M04	458.656
National Total		Guests	Total	Residents in Spain	2017M03	223.393
National Total		Guests	Total	Residents in Spain	2017M02	190.841
National Total		Guests	Total	Residents in Spain	2017M01	163.263
National Total		Guests	Total	Residents in Spain	2016M12	257.953
National Total		Guests	Total	Residents in Spain	2016M11	177.156
National Total		Guests	Total	Residents in Spain	2016M10	285.593
National Total		Guests	Total	Residents in Spain	2016M09	437.114
National Total		Guests	Total	Residents in Spain	2016M08	695.989
National Total		Guests	Total	Residents in Spain	2016M07	631.517
National Total		Guests	Total	Residents in Spain	2016M06	443.828
National Total		Guests	Total	Residents in Spain	2016M05	328.814
National Total		Guests	Total	Residents in Spain	2016M04	266.919
National Total		Guests	Total	Residents in Spain	2016M03	291.456
National Total		Guests	Total	Residents in Spain	2016M02	179.969
National Total		Guests	Total	Residents in Spain	2016M01	152.989
National Total		Guests	Total	Residents in Spain	2015M12	231.433
National Total		Guests	Total	Residents in Spain	2015M11	156.545
National Total		Guests	Total	Residents in Spain	2015M10	274.322
National Total		Guests	Total	Residents in Spain	2015M09	367.836
National Total		Guests	Total	Residents in Spain	2015M08	676.479
National Total		Guests	Total	Residents in Spain	2015M07	540.633
National Total		Guests	Total	Residents in Spain	2015M06	401.461
National Total		Guests	Total	Residents in Spain	2015M05	302.212
National Total		Guests	Total	Residents in Spain	2015M04	287.368
National Total		Guests	Total	Residents in Spain	2015M03	184.627
National Total		Guests	Total	Residents in Spain	2015M02	152.894
National Total		Guests	Total	Residents in Spain	2015M01	126.008
National Total		Guests	Total	Residents in Spain	2014M12	179.801
National Total		Guests	Total	Residents in Spain	2014M11	133.782
National Total		Guests	Total	Residents in Spain	2014M10	208.060
National Total		Guests	Total	Residents in Spain	2014M09	350.110
National Total		Guests	Total	Residents in Spain	2014M08	652.696
National Total		Guests	Total	Residents in Spain	2014M07	475.069
National Total		Guests	Total	Residents in Spain	2014M06	366.499
National Total		Guests	Total	Residents in Spain	2014M05	264.240
National Total		Guests	Total	Residents in Spain	2014M04	274.295
National Total		Guests	Total	Residents in Spain	2014M03	149.089
National Total		Guests	Total	Residents in Spain	2014M02	131.042
National Total		Guests	Total	Residents in Spain	2014M01	99.561
National Total		Guests	Total	Residents in Spain	2013M12	163.480
National Total		Guests	Total	Residents in Spain	2013M11	130.599
National Total		Guests	Total	Residents in Spain	2013M10	186.966
National Total		Guests	Total	Residents in Spain	2013M09	327.017
National Total		Guests	Total	Residents in Spain	2013M08	617.929
National Total		Guests	Total	Residents in Spain	2013M07	474.270
National Total		Guests	Total	Residents in Spain	2013M06	368.383
National Total		Guests	Total	Residents in Spain	2013M05	238.200
National Total		Guests	Total	Residents in Spain	2013M04	161.637
National Total		Guests	Total	Residents in Spain	2013M03	234.745
National Total		Guests	Total	Residents in Spain	2013M02	122.751
National Total		Guests	Total	Residents in Spain	2013M01	95.072
National Total		Guests	Total	Residents in Spain	2012M12	144.510
National Total		Guests	Total	Residents in Spain	2012M11	110.754
National Total		Guests	Total	Residents in Spain	2012M10	175.382
National Total		Guests	Total	Residents in Spain	2012M09	318.848
National Total		Guests	Total	Residents in Spain	2012M08	570.389
National Total		Guests	Total	Residents in Spain	2012M07	460.680
National Total		Guests	Total	Residents in Spain	2012M06	368.222
National Total		Guests	Total	Residents in Spain	2012M05	202.068
National Total		Guests	Total	Residents in Spain	2012M04	246.266
National Total		Guests	Total	Residents in Spain	2012M03	158.210
National Total		Guests	Total	Residents in Spain	2012M02	119.007
National Total		Guests	Total	Residents in Spain	2012M01	100.414
National Total		Guests	Total	Residents in Spain	2011M12	144.436
National Total		Guests	Total	Residents in Spain	2011M11	104.105
National Total		Guests	Total	Residents in Spain	2011M10	182.929
National Total		Guests	Total	Residents in Spain	2011M09	325.588
National Total		Guests	Total	Residents in Spain	2011M08	604.441
National Total		Guests	Total	Residents in Spain	2011M07	483.856
National Total		Guests	Total	Residents in Spain	2011M06	343.006
National Total		Guests	Total	Residents in Spain	2011M05	208.087
National Total		Guests	Total	Residents in Spain	2011M04	258.538
National Total		Guests	Total	Residents in Spain	2011M03	139.091
National Total		Guests	Total	Residents in Spain	2011M02	123.422
National Total		Guests	Total	Residents in Spain	2011M01	99.790
National Total		Guests	Total	Residents in Spain	2010M12	161.259
National Total		Guests	Total	Residents in Spain	2010M11	106.079
National Total		Guests	Total	Residents in Spain	2010M10	192.441
National Total		Guests	Total	Residents in Spain	2010M09	283.052
National Total		Guests	Total	Residents in Spain	2010M08	557.470
National Total		Guests	Total	Residents in Spain	2010M07	443.102
National Total		Guests	Total	Residents in Spain	2010M06	304.143
National Total		Guests	Total	Residents in Spain	2010M05	221.525
National Total		Guests	Total	Residents in Spain	2010M04	227.143
National Total		Guests	Total	Residents in Spain	2010M03	161.833
National Total		Guests	Total	Residents in Spain	2010M02	121.288
National Total		Guests	Total	Residents in Spain	2010M01	92.991
National Total		Guests	Total	Residents in Spain	2009M12	154.058
National Total		Guests	Total	Residents in Spain	2009M11	100.140
National Total		Guests	Total	Residents in Spain	2009M10	174.800
National Total		Guests	Total	Residents in Spain	2009M09	278.716
National Total		Guests	Total	Residents in Spain	2009M08	541.272
National Total		Guests	Total	Residents in Spain	2009M07	397.290
National Total		Guests	Total	Residents in Spain	2009M06	274.324
National Total		Guests	Total	Residents in Spain	2009M05	206.300
National Total		Guests	Total	Residents in Spain	2009M04	223.520
National Total		Guests	Total	Residents in Spain	2009M03	113.252
National Total		Guests	Total	Residents in Spain	2009M02	104.928
National Total		Guests	Total	Residents in Spain	2009M01	80.403
National Total		Guests	Total	Residents in Spain	2008M12	129.836
National Total		Guests	Total	Residents in Spain	2008M11	98.063
National Total		Guests	Total	Residents in Spain	2008M10	154.563
National Total		Guests	Total	Residents in Spain	2008M09	275.450
National Total		Guests	Total	Residents in Spain	2008M08	523.573
National Total		Guests	Total	Residents in Spain	2008M07	384.577
National Total		Guests	Total	Residents in Spain	2008M06	279.963
National Total		Guests	Total	Residents in Spain	2008M05	226.571
National Total		Guests	Total	Residents in Spain	2008M04	156.254
National Total		Guests	Total	Residents in Spain	2008M03	184.564
National Total		Guests	Total	Residents in Spain	2008M02	125.564
National Total		Guests	Total	Residents in Spain	2008M01	88.275
National Total		Guests	Total	Residents in Spain	2007M12	140.120
National Total		Guests	Total	Residents in Spain	2007M11	115.209
National Total		Guests	Total	Residents in Spain	2007M10	184.388
National Total		Guests	Total	Residents in Spain	2007M09	303.341
National Total		Guests	Total	Residents in Spain	2007M08	527.911
National Total		Guests	Total	Residents in Spain	2007M07	406.593
National Total		Guests	Total	Residents in Spain	2007M06	299.589
National Total		Guests	Total	Residents in Spain	2007M05	174.536
National Total		Guests	Total	Residents in Spain	2007M04	257.955
National Total		Guests	Total	Residents in Spain	2007M03	131.627
National Total		Guests	Total	Residents in Spain	2007M02	111.092
National Total		Guests	Total	Residents in Spain	2007M01	81.826
National Total		Guests	Total	Residents in Spain	2006M12	144.749
National Total		Guests	Total	Residents in Spain	2006M11	99.129
National Total		Guests	Total	Residents in Spain	2006M10	168.252
National Total		Guests	Total	Residents in Spain	2006M09	310.349
National Total		Guests	Total	Residents in Spain	2006M08	495.422
National Total		Guests	Total	Residents in Spain	2006M07	374.441
National Total		Guests	Total	Residents in Spain	2006M06	261.397
National Total		Guests	Total	Residents in Spain	2006M05	168.291
National Total		Guests	Total	Residents in Spain	2006M04	285.219
National Total		Guests	Total	Residents in Spain	2006M03	112.401
National Total		Guests	Total	Residents in Spain	2006M02	105.276
National Total		Guests	Total	Residents in Spain	2006M01	87.340
National Total		Guests	Total	Residents in Spain	2005M12	116.330
National Total		Guests	Total	Residents in Spain	2005M11	88.317
National Total		Guests	Total	Residents in Spain	2005M10	138.311
National Total		Guests	Total	Residents in Spain	2005M09	256.372
National Total		Guests	Total	Residents in Spain	2005M08	467.211
National Total		Guests	Total	Residents in Spain	2005M07	355.147
National Total		Guests	Total	Residents in Spain	2005M06	231.829
National Total		Guests	Total	Residents in Spain	2005M05	164.873
National Total		Guests	Total	Residents in Spain	2005M04	141.378
National Total		Guests	Total	Residents in Spain	2005M03	159.741
National Total		Guests	Total	Residents in Spain	2005M02	95.057
National Total		Guests	Total	Residents in Spain	2005M01	75.262
National Total		Guests	Total	Residents in Spain	2004M12	110.146
National Total		Guests	Total	Residents in Spain	2004M11	76.642
National Total		Guests	Total	Residents in Spain	2004M10	140.778
National Total		Guests	Total	Residents in Spain	2004M09	222.683
National Total		Guests	Total	Residents in Spain	2004M08	442.095
National Total		Guests	Total	Residents in Spain	2004M07	317.523
National Total		Guests	Total	Residents in Spain	2004M06	195.604
National Total		Guests	Total	Residents in Spain	2004M05	141.352
National Total		Guests	Total	Residents in Spain	2004M04	205.679
National Total		Guests	Total	Residents in Spain	2004M03	103.582
National Total		Guests	Total	Residents in Spain	2004M02	94.340
National Total		Guests	Total	Residents in Spain	2004M01	73.371
National Total		Guests	Total	Residents in Spain	2003M12	98.725
National Total		Guests	Total	Residents in Spain	2003M11	82.139
National Total		Guests	Total	Residents in Spain	2003M10	106.891
National Total		Guests	Total	Residents in Spain	2003M09	220.617
National Total		Guests	Total	Residents in Spain	2003M08	421.773
National Total		Guests	Total	Residents in Spain	2003M07	281.800
National Total		Guests	Total	Residents in Spain	2003M06	186.301
National Total		Guests	Total	Residents in Spain	2003M05	140.810
National Total		Guests	Total	Residents in Spain	2003M04	192.879
