Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2025M08	663.070
National Total		Guests	Total		2025M07	589.861
National Total		Guests	Total		2025M06	472.296
National Total		Guests	Total		2025M05	452.058
National Total		Guests	Total		2025M04	419.981
National Total		Guests	Total		2025M03	281.702
National Total		Guests	Total		2025M02	221.247
National Total		Guests	Total		2025M01	171.212
National Total		Guests	Total		2024M12	323.435
National Total		Guests	Total		2024M11	316.544
National Total		Guests	Total		2024M10	421.806
National Total		Guests	Total		2024M09	485.202
National Total		Guests	Total		2024M08	697.028
National Total		Guests	Total		2024M07	562.003
National Total		Guests	Total		2024M06	457.185
National Total		Guests	Total		2024M05	447.467
National Total		Guests	Total		2024M04	355.281
National Total		Guests	Total		2024M03	363.375
National Total		Guests	Total		2024M02	215.721
National Total		Guests	Total		2024M01	163.395
National Total		Guests	Total		2023M12	347.975
National Total		Guests	Total		2023M11	261.722
National Total		Guests	Total		2023M10	400.646
National Total		Guests	Total		2023M09	481.548
National Total		Guests	Total		2023M08	665.755
National Total		Guests	Total		2023M07	572.210
National Total		Guests	Total		2023M06	437.016
National Total		Guests	Total		2023M05	368.573
National Total		Guests	Total		2023M04	460.666
National Total		Guests	Total		2023M03	268.598
National Total		Guests	Total		2023M02	217.686
National Total		Guests	Total		2023M01	165.458
National Total		Guests	Total		2022M12	314.339
National Total		Guests	Total		2022M11	250.980
National Total		Guests	Total		2022M10	400.062
National Total		Guests	Total		2022M09	439.050
National Total		Guests	Total		2022M08	646.185
National Total		Guests	Total		2022M07	569.042
National Total		Guests	Total		2022M06	412.181
National Total		Guests	Total		2022M05	365.553
National Total		Guests	Total		2022M04	412.860
National Total		Guests	Total		2022M03	227.429
National Total		Guests	Total		2022M02	212.691
National Total		Guests	Total		2022M01	145.193
National Total		Guests	Total		2021M12	288.182
National Total		Guests	Total		2021M11	248.744
National Total		Guests	Total		2021M10	439.833
National Total		Guests	Total		2021M09	425.742
National Total		Guests	Total		2021M08	640.477
National Total		Guests	Total		2021M07	525.007
National Total		Guests	Total		2021M06	318.030
National Total		Guests	Total		2021M05	199.371
National Total		Guests	Total		2021M04	127.464
National Total		Guests	Total		2021M03	99.362
National Total		Guests	Total		2021M02	34.355
National Total		Guests	Total		2021M01	33.313
National Total		Guests	Total		2020M12	85.687
National Total		Guests	Total		2020M11	41.937
National Total		Guests	Total		2020M10	162.686
National Total		Guests	Total		2020M09	259.925
National Total		Guests	Total		2020M08	535.842
National Total		Guests	Total		2020M07	428.995
National Total		Guests	Total		2020M06	116.497
National Total		Guests	Total		2020M05	8.005
National Total		Guests	Total		2020M04	.
National Total		Guests	Total		2020M03	56.332
National Total		Guests	Total		2020M02	226.830
National Total		Guests	Total		2020M01	160.172
National Total		Guests	Total		2019M12	341.850
National Total		Guests	Total		2019M11	300.454
National Total		Guests	Total		2019M10	374.023
National Total		Guests	Total		2019M09	419.287
National Total		Guests	Total		2019M08	655.937
National Total		Guests	Total		2019M07	515.634
National Total		Guests	Total		2019M06	439.082
National Total		Guests	Total		2019M05	367.754
National Total		Guests	Total		2019M04	382.344
National Total		Guests	Total		2019M03	288.532
National Total		Guests	Total		2019M02	197.124
National Total		Guests	Total		2019M01	139.376
National Total		Guests	Total		2018M12	334.370
National Total		Guests	Total		2018M11	281.690
National Total		Guests	Total		2018M10	378.284
National Total		Guests	Total		2018M09	422.060
