Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2018M08	617.971
National Total		Guests	Total		2018M07	481.751
National Total		Guests	Total		2018M06	406.187
National Total		Guests	Total		2018M05	341.270
National Total		Guests	Total		2018M04	341.465
National Total		Guests	Total		2018M03	327.077
National Total		Guests	Total		2018M02	188.874
National Total		Guests	Total		2018M01	139.670
National Total		Guests	Total		2017M12	330.528
National Total		Guests	Total		2017M11	227.661
National Total		Guests	Total		2017M10	351.998
National Total		Guests	Total		2017M09	404.320
National Total		Guests	Total		2017M08	578.524
National Total		Guests	Total		2017M07	489.067
National Total		Guests	Total		2017M06	376.799
National Total		Guests	Total		2017M05	312.772
National Total		Guests	Total		2017M04	413.792
National Total		Guests	Total		2017M03	240.397
National Total		Guests	Total		2017M02	190.824
National Total		Guests	Total		2017M01	133.292
National Total		Guests	Total		2016M12	286.577
National Total		Guests	Total		2016M11	210.370
National Total		Guests	Total		2016M10	339.949
National Total		Guests	Total		2016M09	341.357
National Total		Guests	Total		2016M08	540.235
National Total		Guests	Total		2016M07	447.976
National Total		Guests	Total		2016M06	310.117
National Total		Guests	Total		2016M05	292.606
National Total		Guests	Total		2016M04	266.184
National Total		Guests	Total		2016M03	292.178
National Total		Guests	Total		2016M02	170.575
National Total		Guests	Total		2016M01	135.496
National Total		Guests	Total		2015M12	268.109
National Total		Guests	Total		2015M11	204.654
National Total		Guests	Total		2015M10	320.795
National Total		Guests	Total		2015M09	307.838
National Total		Guests	Total		2015M08	484.220
National Total		Guests	Total		2015M07	373.598
National Total		Guests	Total		2015M06	281.518
National Total		Guests	Total		2015M05	280.778
National Total		Guests	Total		2015M04	289.877
National Total		Guests	Total		2015M03	197.877
National Total		Guests	Total		2015M02	145.879
National Total		Guests	Total		2015M01	109.044
National Total		Guests	Total		2014M12	239.389
National Total		Guests	Total		2014M11	189.931
National Total		Guests	Total		2014M10	252.555
National Total		Guests	Total		2014M09	260.236
National Total		Guests	Total		2014M08	442.158
National Total		Guests	Total		2014M07	319.015
National Total		Guests	Total		2014M06	245.044
National Total		Guests	Total		2014M05	244.893
National Total		Guests	Total		2014M04	253.700
National Total		Guests	Total		2014M03	158.979
National Total		Guests	Total		2014M02	125.622
National Total		Guests	Total		2014M01	91.425
National Total		Guests	Total		2013M12	209.929
National Total		Guests	Total		2013M11	190.920
National Total		Guests	Total		2013M10	217.517
National Total		Guests	Total		2013M09	223.890
National Total		Guests	Total		2013M08	380.419
National Total		Guests	Total		2013M07	276.006
National Total		Guests	Total		2013M06	231.387
National Total		Guests	Total		2013M05	204.624
National Total		Guests	Total		2013M04	159.622
National Total		Guests	Total		2013M03	223.661
National Total		Guests	Total		2013M02	111.331
National Total		Guests	Total		2013M01	80.203
National Total		Guests	Total		2012M12	227.814
National Total		Guests	Total		2012M11	167.989
National Total		Guests	Total		2012M10	245.239
National Total		Guests	Total		2012M09	225.867
National Total		Guests	Total		2012M08	377.993
National Total		Guests	Total		2012M07	298.663
National Total		Guests	Total		2012M06	224.947
National Total		Guests	Total		2012M05	209.872
National Total		Guests	Total		2012M04	276.853
National Total		Guests	Total		2012M03	181.837
National Total		Guests	Total		2012M02	132.956
National Total		Guests	Total		2012M01	100.338
National Total		Guests	Total		2011M12	222.880
National Total		Guests	Total		2011M11	165.673
National Total		Guests	Total		2011M10	247.759
National Total		Guests	Total		2011M09	235.570
National Total		Guests	Total		2011M08	384.287
National Total		Guests	Total		2011M07	316.359
National Total		Guests	Total		2011M06	247.104
National Total		Guests	Total		2011M05	212.663
National Total		Guests	Total		2011M04	277.614
National Total		Guests	Total		2011M03	171.619
National Total		Guests	Total		2011M02	138.291
National Total		Guests	Total		2011M01	96.168
National Total		Guests	Total		2010M12	235.195
National Total		Guests	Total		2010M11	149.870
National Total		Guests	Total		2010M10	276.924
National Total		Guests	Total		2010M09	223.317
National Total		Guests	Total		2010M08	359.341
National Total		Guests	Total		2010M07	281.685
National Total		Guests	Total		2010M06	224.109
National Total		Guests	Total		2010M05	219.978
National Total		Guests	Total		2010M04	223.397
National Total		Guests	Total		2010M03	209.051
National Total		Guests	Total		2010M02	138.860
National Total		Guests	Total		2010M01	105.645
National Total		Guests	Total		2009M12	231.728
National Total		Guests	Total		2009M11	180.707
National Total		Guests	Total		2009M10	255.850
National Total		Guests	Total		2009M09	231.651
National Total		Guests	Total		2009M08	368.049
National Total		Guests	Total		2009M07	297.731
National Total		Guests	Total		2009M06	213.411
National Total		Guests	Total		2009M05	225.000
National Total		Guests	Total		2009M04	283.104
National Total		Guests	Total		2009M03	187.538
National Total		Guests	Total		2009M02	140.059
National Total		Guests	Total		2009M01	99.435
National Total		Guests	Total		2008M12	231.312
National Total		Guests	Total		2008M11	180.595
National Total		Guests	Total		2008M10	227.108
National Total		Guests	Total		2008M09	222.309
National Total		Guests	Total		2008M08	360.216
National Total		Guests	Total		2008M07	275.150
National Total		Guests	Total		2008M06	217.885
National Total		Guests	Total		2008M05	219.165
National Total		Guests	Total		2008M04	192.375
National Total		Guests	Total		2008M03	238.412
National Total		Guests	Total		2008M02	157.022
National Total		Guests	Total		2008M01	101.802
National Total		Guests	Total		2007M12	236.711
National Total		Guests	Total		2007M11	185.088
National Total		Guests	Total		2007M10	243.478
National Total		Guests	Total		2007M09	217.051
National Total		Guests	Total		2007M08	363.129
National Total		Guests	Total		2007M07	270.798
National Total		Guests	Total		2007M06	218.557
National Total		Guests	Total		2007M05	195.204
National Total		Guests	Total		2007M04	293.189
National Total		Guests	Total		2007M03	185.667
National Total		Guests	Total		2007M02	138.021
National Total		Guests	Total		2007M01	98.344
National Total		Guests	Total		2006M12	232.119
National Total		Guests	Total		2006M11	165.633
National Total		Guests	Total		2006M10	221.160
National Total		Guests	Total		2006M09	207.324
National Total		Guests	Total		2006M08	333.524
National Total		Guests	Total		2006M07	254.647
National Total		Guests	Total		2006M06	187.891
National Total		Guests	Total		2006M05	172.436
National Total		Guests	Total		2006M04	268.905
National Total		Guests	Total		2006M03	161.105
National Total		Guests	Total		2006M02	123.643
National Total		Guests	Total		2006M01	97.041
National Total		Guests	Total		2005M12	177.485
National Total		Guests	Total		2005M11	132.961
National Total		Guests	Total		2005M10	181.908
National Total		Guests	Total		2005M09	176.158
National Total		Guests	Total		2005M08	289.427
National Total		Guests	Total		2005M07	222.874
National Total		Guests	Total		2005M06	155.529
National Total		Guests	Total		2005M05	154.735
National Total		Guests	Total		2005M04	147.890
National Total		Guests	Total		2005M03	173.660
National Total		Guests	Total		2005M02	97.276
National Total		Guests	Total		2005M01	72.998
National Total		Guests	Total		2004M12	148.492
National Total		Guests	Total		2004M11	114.569
National Total		Guests	Total		2004M10	178.811
National Total		Guests	Total		2004M09	145.567
National Total		Guests	Total		2004M08	241.982
National Total		Guests	Total		2004M07	177.598
National Total		Guests	Total		2004M06	141.044
National Total		Guests	Total		2004M05	131.611
National Total		Guests	Total		2004M04	173.667
National Total		Guests	Total		2004M03	125.820
National Total		Guests	Total		2004M02	104.311
National Total		Guests	Total		2004M01	70.888
National Total		Guests	Total		2003M12	136.091
National Total		Guests	Total		2003M11	101.588
National Total		Guests	Total		2003M10	126.940
National Total		Guests	Total		2003M09	129.209
National Total		Guests	Total		2003M08	212.027
National Total		Guests	Total		2003M07	157.410
National Total		Guests	Total		2003M06	113.783
National Total		Guests	Total		2003M05	108.089
National Total		Guests	Total		2003M04	145.878
National Total		Guests	Total		2003M03	101.447
National Total		Guests	Total		2003M02	80.967
National Total		Guests	Total		2003M01	54.110
National Total		Guests	Total		2002M12	99.925
National Total		Guests	Total		2002M11	99.925
National Total		Guests	Total		2002M10	123.334
National Total		Guests	Total		2002M09	117.975
National Total		Guests	Total		2002M08	206.494
National Total		Guests	Total		2002M07	147.928
National Total		Guests	Total		2002M06	102.427
National Total		Guests	Total		2002M05	106.965
National Total		Guests	Total		2002M04	94.730
National Total		Guests	Total		2002M03	130.136
National Total		Guests	Total		2002M02	75.763
National Total		Guests	Total		2002M01	49.691
National Total		Guests	Total		2001M12	106.678
National Total		Guests	Total		2001M11	84.496
National Total		Guests	Total		2001M10	114.999
National Total		Guests	Total		2001M09	108.424
National Total		Guests	Total		2001M08	177.627
National Total		Guests	Total		2001M07	134.634
National Total		Guests	Total		2001M06	95.746
National Total		Guests	Total		2001M05	76.959
National Total		Guests	Total		2001M04	125.897
National Total		Guests	Total		2001M03	76.160
National Total		Guests	Total		2001M02	62.848
National Total		Guests	Total		2001M01	46.422
National Total		Guests	Total	Residents in Spain	2025M08	486.869
National Total		Guests	Total	Residents in Spain	2025M07	421.242
National Total		Guests	Total	Residents in Spain	2025M06	329.743
National Total		Guests	Total	Residents in Spain	2025M05	312.257
National Total		Guests	Total	Residents in Spain	2025M04	313.560
National Total		Guests	Total	Residents in Spain	2025M03	228.516
National Total		Guests	Total	Residents in Spain	2025M02	189.366
National Total		Guests	Total	Residents in Spain	2025M01	151.795
National Total		Guests	Total	Residents in Spain	2024M12	290.531
National Total		Guests	Total	Residents in Spain	2024M11	270.498
National Total		Guests	Total	Residents in Spain	2024M10	297.958
National Total		Guests	Total	Residents in Spain	2024M09	329.067
National Total		Guests	Total	Residents in Spain	2024M08	521.661
National Total		Guests	Total	Residents in Spain	2024M07	401.310
National Total		Guests	Total	Residents in Spain	2024M06	322.181
National Total		Guests	Total	Residents in Spain	2024M05	298.089
National Total		Guests	Total	Residents in Spain	2024M04	243.373
National Total		Guests	Total	Residents in Spain	2024M03	302.044
National Total		Guests	Total	Residents in Spain	2024M02	182.176
National Total		Guests	Total	Residents in Spain	2024M01	138.439
National Total		Guests	Total	Residents in Spain	2023M12	316.100
National Total		Guests	Total	Residents in Spain	2023M11	226.985
National Total		Guests	Total	Residents in Spain	2023M10	298.781
National Total		Guests	Total	Residents in Spain	2023M09	339.055
National Total		Guests	Total	Residents in Spain	2023M08	503.883
National Total		Guests	Total	Residents in Spain	2023M07	419.329
National Total		Guests	Total	Residents in Spain	2023M06	320.218
National Total		Guests	Total	Residents in Spain	2023M05	252.139
National Total		Guests	Total	Residents in Spain	2023M04	361.386
National Total		Guests	Total	Residents in Spain	2023M03	219.934
National Total		Guests	Total	Residents in Spain	2023M02	186.468
National Total		Guests	Total	Residents in Spain	2023M01	142.557
National Total		Guests	Total	Residents in Spain	2022M12	287.135
National Total		Guests	Total	Residents in Spain	2022M11	220.345
National Total		Guests	Total	Residents in Spain	2022M10	316.430
National Total		Guests	Total	Residents in Spain	2022M09	324.863
National Total		Guests	Total	Residents in Spain	2022M08	509.865
National Total		Guests	Total	Residents in Spain	2022M07	442.090
National Total		Guests	Total	Residents in Spain	2022M06	310.336
National Total		Guests	Total	Residents in Spain	2022M05	269.644
National Total		Guests	Total	Residents in Spain	2022M04	340.667
National Total		Guests	Total	Residents in Spain	2022M03	192.243
National Total		Guests	Total	Residents in Spain	2022M02	188.916
National Total		Guests	Total	Residents in Spain	2022M01	129.084
National Total		Guests	Total	Residents in Spain	2021M12	267.455
National Total		Guests	Total	Residents in Spain	2021M11	222.429
National Total		Guests	Total	Residents in Spain	2021M10	368.062
National Total		Guests	Total	Residents in Spain	2021M09	339.826
National Total		Guests	Total	Residents in Spain	2021M08	550.263
National Total		Guests	Total	Residents in Spain	2021M07	444.624
National Total		Guests	Total	Residents in Spain	2021M06	273.018
National Total		Guests	Total	Residents in Spain	2021M05	168.571
National Total		Guests	Total	Residents in Spain	2021M04	115.622
National Total		Guests	Total	Residents in Spain	2021M03	92.575
National Total		Guests	Total	Residents in Spain	2021M02	31.942
National Total		Guests	Total	Residents in Spain	2021M01	30.598
National Total		Guests	Total	Residents in Spain	2020M12	80.114
National Total		Guests	Total	Residents in Spain	2020M11	.
National Total		Guests	Total	Residents in Spain	2020M10	151.171
National Total		Guests	Total	Residents in Spain	2020M09	241.882
National Total		Guests	Total	Residents in Spain	2020M08	493.393
National Total		Guests	Total	Residents in Spain	2020M07	387.241
National Total		Guests	Total	Residents in Spain	2020M06	113.624
National Total		Guests	Total	Residents in Spain	2020M05	.
National Total		Guests	Total	Residents in Spain	2020M04	.
National Total		Guests	Total	Residents in Spain	2020M03	45.841
National Total		Guests	Total	Residents in Spain	2020M02	200.636
National Total		Guests	Total	Residents in Spain	2020M01	140.927
National Total		Guests	Total	Residents in Spain	2019M12	313.967
National Total		Guests	Total	Residents in Spain	2019M11	271.157
National Total		Guests	Total	Residents in Spain	2019M10	291.487
National Total		Guests	Total	Residents in Spain	2019M09	296.409
National Total		Guests	Total	Residents in Spain	2019M08	513.135
National Total		Guests	Total	Residents in Spain	2019M07	390.209
National Total		Guests	Total	Residents in Spain	2019M06	334.150
National Total		Guests	Total	Residents in Spain	2019M05	271.622
National Total		Guests	Total	Residents in Spain	2019M04	309.069
National Total		Guests	Total	Residents in Spain	2019M03	249.268
National Total		Guests	Total	Residents in Spain	2019M02	172.002
National Total		Guests	Total	Residents in Spain	2019M01	121.099
National Total		Guests	Total	Residents in Spain	2018M12	309.788
National Total		Guests	Total	Residents in Spain	2018M11	254.291
National Total		Guests	Total	Residents in Spain	2018M10	295.083
National Total		Guests	Total	Residents in Spain	2018M09	309.483
National Total		Guests	Total	Residents in Spain	2018M08	478.559
National Total		Guests	Total	Residents in Spain	2018M07	355.468
National Total		Guests	Total	Residents in Spain	2018M06	308.092
National Total		Guests	Total	Residents in Spain	2018M05	238.474
National Total		Guests	Total	Residents in Spain	2018M04	272.291
National Total		Guests	Total	Residents in Spain	2018M03	286.691
National Total		Guests	Total	Residents in Spain	2018M02	165.555
National Total		Guests	Total	Residents in Spain	2018M01	122.354
National Total		Guests	Total	Residents in Spain	2017M12	308.404
National Total		Guests	Total	Residents in Spain	2017M11	200.857
National Total		Guests	Total	Residents in Spain	2017M10	275.768
National Total		Guests	Total	Residents in Spain	2017M09	295.266
National Total		Guests	Total	Residents in Spain	2017M08	454.211
National Total		Guests	Total	Residents in Spain	2017M07	374.218
National Total		Guests	Total	Residents in Spain	2017M06	286.697
National Total		Guests	Total	Residents in Spain	2017M05	226.050
National Total		Guests	Total	Residents in Spain	2017M04	347.184
National Total		Guests	Total	Residents in Spain	2017M03	210.366
National Total		Guests	Total	Residents in Spain	2017M02	168.635
National Total		Guests	Total	Residents in Spain	2017M01	117.588
National Total		Guests	Total	Residents in Spain	2016M12	266.850
National Total		Guests	Total	Residents in Spain	2016M11	189.953
National Total		Guests	Total	Residents in Spain	2016M10	279.611
National Total		Guests	Total	Residents in Spain	2016M09	253.423
National Total		Guests	Total	Residents in Spain	2016M08	427.987
National Total		Guests	Total	Residents in Spain	2016M07	348.915
National Total		Guests	Total	Residents in Spain	2016M06	241.883
National Total		Guests	Total	Residents in Spain	2016M05	218.423
National Total		Guests	Total	Residents in Spain	2016M04	213.540
National Total		Guests	Total	Residents in Spain	2016M03	257.924
National Total		Guests	Total	Residents in Spain	2016M02	151.446
National Total		Guests	Total	Residents in Spain	2016M01	121.372
National Total		Guests	Total	Residents in Spain	2015M12	252.332
National Total		Guests	Total	Residents in Spain	2015M11	188.045
National Total		Guests	Total	Residents in Spain	2015M10	267.775
National Total		Guests	Total	Residents in Spain	2015M09	229.868
National Total		Guests	Total	Residents in Spain	2015M08	391.107
National Total		Guests	Total	Residents in Spain	2015M07	292.593
National Total		Guests	Total	Residents in Spain	2015M06	221.141
National Total		Guests	Total	Residents in Spain	2015M05	218.737
National Total		Guests	Total	Residents in Spain	2015M04	246.144
National Total		Guests	Total	Residents in Spain	2015M03	175.353
National Total		Guests	Total	Residents in Spain	2015M02	131.738
National Total		Guests	Total	Residents in Spain	2015M01	98.496
National Total		Guests	Total	Residents in Spain	2014M12	225.529
National Total		Guests	Total	Residents in Spain	2014M11	175.985
National Total		Guests	Total	Residents in Spain	2014M10	211.272
National Total		Guests	Total	Residents in Spain	2014M09	196.718
National Total		Guests	Total	Residents in Spain	2014M08	358.354
National Total		Guests	Total	Residents in Spain	2014M07	249.716
National Total		Guests	Total	Residents in Spain	2014M06	193.782
National Total		Guests	Total	Residents in Spain	2014M05	192.818
National Total		Guests	Total	Residents in Spain	2014M04	216.826
National Total		Guests	Total	Residents in Spain	2014M03	139.897
National Total		Guests	Total	Residents in Spain	2014M02	113.982
National Total		Guests	Total	Residents in Spain	2014M01	81.781
National Total		Guests	Total	Residents in Spain	2013M12	198.362
National Total		Guests	Total	Residents in Spain	2013M11	178.491
National Total		Guests	Total	Residents in Spain	2013M10	182.965
National Total		Guests	Total	Residents in Spain	2013M09	172.913
National Total		Guests	Total	Residents in Spain	2013M08	313.224
National Total		Guests	Total	Residents in Spain	2013M07	216.001
National Total		Guests	Total	Residents in Spain	2013M06	186.847
National Total		Guests	Total	Residents in Spain	2013M05	158.278
National Total		Guests	Total	Residents in Spain	2013M04	127.275
National Total		Guests	Total	Residents in Spain	2013M03	204.041
National Total		Guests	Total	Residents in Spain	2013M02	99.693
National Total		Guests	Total	Residents in Spain	2013M01	71.387
National Total		Guests	Total	Residents in Spain	2012M12	216.028
National Total		Guests	Total	Residents in Spain	2012M11	154.721
National Total		Guests	Total	Residents in Spain	2012M10	211.870
National Total		Guests	Total	Residents in Spain	2012M09	174.868
National Total		Guests	Total	Residents in Spain	2012M08	313.989
National Total		Guests	Total	Residents in Spain	2012M07	237.859
National Total		Guests	Total	Residents in Spain	2012M06	183.083
National Total		Guests	Total	Residents in Spain	2012M05	164.201
National Total		Guests	Total	Residents in Spain	2012M04	244.897
National Total		Guests	Total	Residents in Spain	2012M03	164.296
National Total		Guests	Total	Residents in Spain	2012M02	121.177
National Total		Guests	Total	Residents in Spain	2012M01	93.046
National Total		Guests	Total	Residents in Spain	2011M12	212.325
National Total		Guests	Total	Residents in Spain	2011M11	154.702
National Total		Guests	Total	Residents in Spain	2011M10	219.542
National Total		Guests	Total	Residents in Spain	2011M09	191.872
National Total		Guests	Total	Residents in Spain	2011M08	329.230
National Total		Guests	Total	Residents in Spain	2011M07	264.501
National Total		Guests	Total	Residents in Spain	2011M06	209.044
National Total		Guests	Total	Residents in Spain	2011M05	177.240
National Total		Guests	Total	Residents in Spain	2011M04	249.151
National Total		Guests	Total	Residents in Spain	2011M03	154.317
National Total		Guests	Total	Residents in Spain	2011M02	128.200
National Total		Guests	Total	Residents in Spain	2011M01	88.468
National Total		Guests	Total	Residents in Spain	2010M12	226.249
National Total		Guests	Total	Residents in Spain	2010M11	140.270
National Total		Guests	Total	Residents in Spain	2010M10	252.215
National Total		Guests	Total	Residents in Spain	2010M09	186.492
National Total		Guests	Total	Residents in Spain	2010M08	311.780
National Total		Guests	Total	Residents in Spain	2010M07	238.836
National Total		Guests	Total	Residents in Spain	2010M06	193.096
National Total		Guests	Total	Residents in Spain	2010M05	186.022
National Total		Guests	Total	Residents in Spain	2010M04	201.763
National Total		Guests	Total	Residents in Spain	2010M03	194.783
National Total		Guests	Total	Residents in Spain	2010M02	129.096
National Total		Guests	Total	Residents in Spain	2010M01	100.003
National Total		Guests	Total	Residents in Spain	2009M12	223.319
National Total		Guests	Total	Residents in Spain	2009M11	172.657
National Total		Guests	Total	Residents in Spain	2009M10	234.174
National Total		Guests	Total	Residents in Spain	2009M09	202.160
National Total		Guests	Total	Residents in Spain	2009M08	326.356
National Total		Guests	Total	Residents in Spain	2009M07	257.089
National Total		Guests	Total	Residents in Spain	2009M06	186.232
National Total		Guests	Total	Residents in Spain	2009M05	192.493
National Total		Guests	Total	Residents in Spain	2009M04	257.825
National Total		Guests	Total	Residents in Spain	2009M03	173.301
National Total		Guests	Total	Residents in Spain	2009M02	129.787
National Total		Guests	Total	Residents in Spain	2009M01	93.478
National Total		Guests	Total	Residents in Spain	2008M12	220.944
National Total		Guests	Total	Residents in Spain	2008M11	172.383
National Total		Guests	Total	Residents in Spain	2008M10	206.847
National Total		Guests	Total	Residents in Spain	2008M09	190.899
National Total		Guests	Total	Residents in Spain	2008M08	318.734
National Total		Guests	Total	Residents in Spain	2008M07	236.103
National Total		Guests	Total	Residents in Spain	2008M06	191.315
National Total		Guests	Total	Residents in Spain	2008M05	188.874
National Total		Guests	Total	Residents in Spain	2008M04	170.283
National Total		Guests	Total	Residents in Spain	2008M03	223.082
National Total		Guests	Total	Residents in Spain	2008M02	146.510
National Total		Guests	Total	Residents in Spain	2008M01	94.994
National Total		Guests	Total	Residents in Spain	2007M12	227.910
National Total		Guests	Total	Residents in Spain	2007M11	175.376
National Total		Guests	Total	Residents in Spain	2007M10	221.486
National Total		Guests	Total	Residents in Spain	2007M09	187.274
National Total		Guests	Total	Residents in Spain	2007M08	323.574
National Total		Guests	Total	Residents in Spain	2007M07	229.579
National Total		Guests	Total	Residents in Spain	2007M06	191.722
National Total		Guests	Total	Residents in Spain	2007M05	165.399
National Total		Guests	Total	Residents in Spain	2007M04	269.813
National Total		Guests	Total	Residents in Spain	2007M03	169.901
National Total		Guests	Total	Residents in Spain	2007M02	127.780
National Total		Guests	Total	Residents in Spain	2007M01	92.597
National Total		Guests	Total	Residents in Spain	2006M12	223.436
National Total		Guests	Total	Residents in Spain	2006M11	156.988
National Total		Guests	Total	Residents in Spain	2006M10	198.967
National Total		Guests	Total	Residents in Spain	2006M09	179.097
National Total		Guests	Total	Residents in Spain	2006M08	295.265
National Total		Guests	Total	Residents in Spain	2006M07	217.720
National Total		Guests	Total	Residents in Spain	2006M06	161.756
National Total		Guests	Total	Residents in Spain	2006M05	145.348
National Total		Guests	Total	Residents in Spain	2006M04	247.385
National Total		Guests	Total	Residents in Spain	2006M03	147.768
National Total		Guests	Total	Residents in Spain	2006M02	114.967
National Total		Guests	Total	Residents in Spain	2006M01	91.538
National Total		Guests	Total	Residents in Spain	2005M12	169.426
National Total		Guests	Total	Residents in Spain	2005M11	124.608
National Total		Guests	Total	Residents in Spain	2005M10	162.694
National Total		Guests	Total	Residents in Spain	2005M09	150.769
National Total		Guests	Total	Residents in Spain	2005M08	256.934
National Total		Guests	Total	Residents in Spain	2005M07	188.174
National Total		Guests	Total	Residents in Spain	2005M06	134.539
National Total		Guests	Total	Residents in Spain	2005M05	132.048
National Total		Guests	Total	Residents in Spain	2005M04	131.804
National Total		Guests	Total	Residents in Spain	2005M03	161.912
National Total		Guests	Total	Residents in Spain	2005M02	90.336
National Total		Guests	Total	Residents in Spain	2005M01	67.160
National Total		Guests	Total	Residents in Spain	2004M12	142.064
National Total		Guests	Total	Residents in Spain	2004M11	106.177
National Total		Guests	Total	Residents in Spain	2004M10	164.769
National Total		Guests	Total	Residents in Spain	2004M09	125.570
National Total		Guests	Total	Residents in Spain	2004M08	218.510
National Total		Guests	Total	Residents in Spain	2004M07	153.863
National Total		Guests	Total	Residents in Spain	2004M06	124.093
National Total		Guests	Total	Residents in Spain	2004M05	113.427
National Total		Guests	Total	Residents in Spain	2004M04	159.557
National Total		Guests	Total	Residents in Spain	2004M03	116.986
National Total		Guests	Total	Residents in Spain	2004M02	96.549
National Total		Guests	Total	Residents in Spain	2004M01	66.726
National Total		Guests	Total	Residents in Spain	2003M12	129.376
National Total		Guests	Total	Residents in Spain	2003M11	96.667
National Total		Guests	Total	Residents in Spain	2003M10	114.491
National Total		Guests	Total	Residents in Spain	2003M09	113.595
National Total		Guests	Total	Residents in Spain	2003M08	191.124
National Total		Guests	Total	Residents in Spain	2003M07	134.652
National Total		Guests	Total	Residents in Spain	2003M06	97.471
National Total		Guests	Total	Residents in Spain	2003M05	93.198
National Total		Guests	Total	Residents in Spain	2003M04	133.314
National Total		Guests	Total	Residents in Spain	2003M03	93.011
National Total		Guests	Total	Residents in Spain	2003M02	75.161
National Total		Guests	Total	Residents in Spain	2003M01	50.644
National Total		Guests	Total	Residents in Spain	2002M12	94.500
National Total		Guests	Total	Residents in Spain	2002M11	94.500
National Total		Guests	Total	Residents in Spain	2002M10	112.914
National Total		Guests	Total	Residents in Spain	2002M09	102.802
National Total		Guests	Total	Residents in Spain	2002M08	183.821
National Total		Guests	Total	Residents in Spain	2002M07	125.306
National Total		Guests	Total	Residents in Spain	2002M06	88.806
National Total		Guests	Total	Residents in Spain	2002M05	90.606
National Total		Guests	Total	Residents in Spain	2002M04	82.509
National Total		Guests	Total	Residents in Spain	2002M03	122.265
National Total		Guests	Total	Residents in Spain	2002M02	69.567
National Total		Guests	Total	Residents in Spain	2002M01	46.204
