Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2025M09	428.353
National Total		Guests	Total		2025M08	511.738
National Total		Guests	Total		2025M07	470.037
National Total		Guests	Total		2025M06	470.530
National Total		Guests	Total		2025M05	505.751
National Total		Guests	Total		2025M04	429.435
National Total		Guests	Total		2025M03	219.218
National Total		Guests	Total		2025M02	167.984
National Total		Guests	Total		2025M01	139.406
National Total		Guests	Total		2024M12	179.280
National Total		Guests	Total		2024M11	208.006
National Total		Guests	Total		2024M10	373.729
National Total		Guests	Total		2024M09	473.200
National Total		Guests	Total		2024M08	536.723
National Total		Guests	Total		2024M07	498.280
National Total		Guests	Total		2024M06	485.732
National Total		Guests	Total		2024M05	535.691
National Total		Guests	Total		2024M04	409.040
National Total		Guests	Total		2024M03	296.235
National Total		Guests	Total		2024M02	191.440
National Total		Guests	Total		2024M01	155.269
National Total		Guests	Total		2023M12	186.829
National Total		Guests	Total		2023M11	227.594
National Total		Guests	Total		2023M10	449.696
National Total		Guests	Total		2023M09	556.085
National Total		Guests	Total		2023M08	631.285
National Total		Guests	Total		2023M07	576.777
National Total		Guests	Total		2023M06	532.608
National Total		Guests	Total		2023M05	542.650
National Total		Guests	Total		2023M04	470.394
National Total		Guests	Total		2023M03	291.878
National Total		Guests	Total		2023M02	155.905
National Total		Guests	Total		2023M01	132.841
National Total		Guests	Total		2022M12	136.497
National Total		Guests	Total		2022M11	161.183
National Total		Guests	Total		2022M10	359.832
National Total		Guests	Total		2022M09	416.024
National Total		Guests	Total		2022M08	539.326
National Total		Guests	Total		2022M07	505.449
National Total		Guests	Total		2022M06	487.467
National Total		Guests	Total		2022M05	433.110
National Total		Guests	Total		2022M04	339.101
National Total		Guests	Total		2022M03	157.555
National Total		Guests	Total		2022M02	105.058
National Total		Guests	Total		2022M01	78.469
National Total		Guests	Total		2021M12	90.761
National Total		Guests	Total		2021M11	100.522
National Total		Guests	Total		2021M10	241.159
National Total		Guests	Total		2021M09	262.558
National Total		Guests	Total		2021M08	324.321
National Total		Guests	Total		2021M07	279.150
National Total		Guests	Total		2021M06	117.743
National Total		Guests	Total		2021M05	41.070
National Total		Guests	Total		2021M04	19.382
National Total		Guests	Total		2021M03	16.435
National Total		Guests	Total		2021M02	6.329
National Total		Guests	Total		2021M01	4.568
National Total		Guests	Total		2020M12	5.462
National Total		Guests	Total		2020M11	5.629
National Total		Guests	Total		2020M10	12.578
National Total		Guests	Total		2020M09	16.011
National Total		Guests	Total		2020M08	37.089
National Total		Guests	Total		2020M07	25.531
National Total		Guests	Total		2020M06	4.694
National Total		Guests	Total		2020M05	386
National Total		Guests	Total		2020M04	.
National Total		Guests	Total		2020M03	24.640
National Total		Guests	Total		2020M02	61.283
National Total		Guests	Total		2020M01	40.808
National Total		Guests	Total		2019M12	49.436
National Total		Guests	Total		2019M11	66.094
National Total		Guests	Total		2019M10	89.193
National Total		Guests	Total		2019M09	85.966
National Total		Guests	Total		2019M08	129.132
National Total		Guests	Total		2019M07	120.423
National Total		Guests	Total		2019M06	132.420
National Total		Guests	Total		2019M05	116.484
National Total		Guests	Total		2019M04	106.393
National Total		Guests	Total		2019M03	89.097
National Total		Guests	Total		2019M02	61.794
National Total		Guests	Total		2019M01	40.911
National Total		Guests	Total		2018M12	49.266
National Total		Guests	Total		2018M11	61.887
National Total		Guests	Total		2018M10	84.675
National Total		Guests	Total		2018M09	81.265
National Total		Guests	Total		2018M08	117.029
National Total		Guests	Total		2018M07	120.685
National Total		Guests	Total		2018M06	128.560
National Total		Guests	Total		2018M05	119.358
National Total		Guests	Total		2018M04	104.767
National Total		Guests	Total		2018M03	103.745
National Total		Guests	Total		2018M02	62.301
National Total		Guests	Total		2018M01	41.801
National Total		Guests	Total		2017M12	53.851
National Total		Guests	Total		2017M11	60.548
National Total		Guests	Total		2017M10	86.994
National Total		Guests	Total		2017M09	87.847
National Total		Guests	Total		2017M08	119.228
National Total		Guests	Total		2017M07	121.016
National Total		Guests	Total		2017M06	119.129
National Total		Guests	Total		2017M05	111.379
National Total		Guests	Total		2017M04	104.822
National Total		Guests	Total		2017M03	76.325
National Total		Guests	Total		2017M02	51.457
National Total		Guests	Total		2017M01	31.336
National Total		Guests	Total		2016M12	44.903
National Total		Guests	Total		2016M11	48.531
National Total		Guests	Total		2016M10	80.964
National Total		Guests	Total		2016M09	77.375
National Total		Guests	Total		2016M08	110.058
National Total		Guests	Total		2016M07	115.499
National Total		Guests	Total		2016M06	113.826
National Total		Guests	Total		2016M05	108.734
National Total		Guests	Total		2016M04	90.236
National Total		Guests	Total		2016M03	83.623
National Total		Guests	Total		2016M02	52.486
National Total		Guests	Total		2016M01	34.264
National Total		Guests	Total		2015M12	41.082
National Total		Guests	Total		2015M11	47.509
National Total		Guests	Total		2015M10	78.297
National Total		Guests	Total		2015M09	69.408
National Total		Guests	Total		2015M08	108.101
National Total		Guests	Total		2015M07	102.096
National Total		Guests	Total		2015M06	102.673
National Total		Guests	Total		2015M05	103.336
National Total		Guests	Total		2015M04	94.317
National Total		Guests	Total		2015M03	80.141
National Total		Guests	Total		2015M02	46.708
National Total		Guests	Total		2015M01	30.779
National Total		Guests	Total		2014M12	42.838
National Total		Guests	Total		2014M11	49.443
National Total		Guests	Total		2014M10	71.267
National Total		Guests	Total		2014M09	65.813
National Total		Guests	Total		2014M08	114.951
National Total		Guests	Total		2014M07	112.298
National Total		Guests	Total		2014M06	111.179
National Total		Guests	Total		2014M05	104.089
National Total		Guests	Total		2014M04	92.532
National Total		Guests	Total		2014M03	67.321
National Total		Guests	Total		2014M02	43.243
National Total		Guests	Total		2014M01	23.068
National Total		Guests	Total	Residents in Spain	2025M09	166.561
National Total		Guests	Total	Residents in Spain	2025M08	247.166
National Total		Guests	Total	Residents in Spain	2025M07	242.182
National Total		Guests	Total	Residents in Spain	2025M06	223.426
National Total		Guests	Total	Residents in Spain	2025M05	196.782
National Total		Guests	Total	Residents in Spain	2025M04	204.982
National Total		Guests	Total	Residents in Spain	2025M03	110.161
National Total		Guests	Total	Residents in Spain	2025M02	81.880
National Total		Guests	Total	Residents in Spain	2025M01	70.700
National Total		Guests	Total	Residents in Spain	2024M12	94.792
National Total		Guests	Total	Residents in Spain	2024M11	100.418
National Total		Guests	Total	Residents in Spain	2024M10	163.684
National Total		Guests	Total	Residents in Spain	2024M09	200.868
National Total		Guests	Total	Residents in Spain	2024M08	286.875
National Total		Guests	Total	Residents in Spain	2024M07	263.520
National Total		Guests	Total	Residents in Spain	2024M06	231.999
National Total		Guests	Total	Residents in Spain	2024M05	211.552
National Total		Guests	Total	Residents in Spain	2024M04	182.342
National Total		Guests	Total	Residents in Spain	2024M03	168.795
National Total		Guests	Total	Residents in Spain	2024M02	94.180
National Total		Guests	Total	Residents in Spain	2024M01	75.060
National Total		Guests	Total	Residents in Spain	2023M12	92.987
National Total		Guests	Total	Residents in Spain	2023M11	97.822
National Total		Guests	Total	Residents in Spain	2023M10	180.201
National Total		Guests	Total	Residents in Spain	2023M09	213.428
National Total		Guests	Total	Residents in Spain	2023M08	299.192
National Total		Guests	Total	Residents in Spain	2023M07	291.613
National Total		Guests	Total	Residents in Spain	2023M06	250.224
National Total		Guests	Total	Residents in Spain	2023M05	208.887
National Total		Guests	Total	Residents in Spain	2023M04	213.100
National Total		Guests	Total	Residents in Spain	2023M03	161.535
National Total		Guests	Total	Residents in Spain	2023M02	78.103
National Total		Guests	Total	Residents in Spain	2023M01	62.374
National Total		Guests	Total	Residents in Spain	2022M12	71.014
National Total		Guests	Total	Residents in Spain	2022M11	74.460
National Total		Guests	Total	Residents in Spain	2022M10	159.053
National Total		Guests	Total	Residents in Spain	2022M09	172.499
National Total		Guests	Total	Residents in Spain	2022M08	287.031
National Total		Guests	Total	Residents in Spain	2022M07	280.956
National Total		Guests	Total	Residents in Spain	2022M06	249.081
National Total		Guests	Total	Residents in Spain	2022M05	182.300
National Total		Guests	Total	Residents in Spain	2022M04	169.831
National Total		Guests	Total	Residents in Spain	2022M03	83.123
National Total		Guests	Total	Residents in Spain	2022M02	56.190
National Total		Guests	Total	Residents in Spain	2022M01	39.580
National Total		Guests	Total	Residents in Spain	2021M12	52.867
National Total		Guests	Total	Residents in Spain	2021M11	59.893
National Total		Guests	Total	Residents in Spain	2021M10	133.663
National Total		Guests	Total	Residents in Spain	2021M09	142.274
National Total		Guests	Total	Residents in Spain	2021M08	234.651
National Total		Guests	Total	Residents in Spain	2021M07	197.994
National Total		Guests	Total	Residents in Spain	2021M06	86.141
National Total		Guests	Total	Residents in Spain	2021M05	32.024
National Total		Guests	Total	Residents in Spain	2021M04	16.322
National Total		Guests	Total	Residents in Spain	2021M03	13.911
National Total		Guests	Total	Residents in Spain	2021M02	4.037
National Total		Guests	Total	Residents in Spain	2021M01	2.686
National Total		Guests	Total	Residents in Spain	2020M12	3.785
National Total		Guests	Total	Residents in Spain	2020M11	.
National Total		Guests	Total	Residents in Spain	2020M10	9.935
National Total		Guests	Total	Residents in Spain	2020M09	12.945
National Total		Guests	Total	Residents in Spain	2020M08	30.807
National Total		Guests	Total	Residents in Spain	2020M07	21.625
National Total		Guests	Total	Residents in Spain	2020M06	4.107
National Total		Guests	Total	Residents in Spain	2020M05	.
National Total		Guests	Total	Residents in Spain	2020M04	.
National Total		Guests	Total	Residents in Spain	2020M03	17.815
National Total		Guests	Total	Residents in Spain	2020M02	41.942
National Total		Guests	Total	Residents in Spain	2020M01	25.597
National Total		Guests	Total	Residents in Spain	2019M12	31.776
National Total		Guests	Total	Residents in Spain	2019M11	43.560
National Total		Guests	Total	Residents in Spain	2019M10	60.204
National Total		Guests	Total	Residents in Spain	2019M09	49.488
National Total		Guests	Total	Residents in Spain	2019M08	78.047
National Total		Guests	Total	Residents in Spain	2019M07	77.460
National Total		Guests	Total	Residents in Spain	2019M06	96.790
National Total		Guests	Total	Residents in Spain	2019M05	80.658
National Total		Guests	Total	Residents in Spain	2019M04	72.884
National Total		Guests	Total	Residents in Spain	2019M03	60.733
National Total		Guests	Total	Residents in Spain	2019M02	42.415
National Total		Guests	Total	Residents in Spain	2019M01	25.666
National Total		Guests	Total	Residents in Spain	2018M12	33.497
National Total		Guests	Total	Residents in Spain	2018M11	40.177
National Total		Guests	Total	Residents in Spain	2018M10	54.903
National Total		Guests	Total	Residents in Spain	2018M09	50.717
National Total		Guests	Total	Residents in Spain	2018M08	75.001
National Total		Guests	Total	Residents in Spain	2018M07	80.221
National Total		Guests	Total	Residents in Spain	2018M06	95.586
National Total		Guests	Total	Residents in Spain	2018M05	85.171
National Total		Guests	Total	Residents in Spain	2018M04	73.864
National Total		Guests	Total	Residents in Spain	2018M03	78.003
National Total		Guests	Total	Residents in Spain	2018M02	42.707
National Total		Guests	Total	Residents in Spain	2018M01	26.035
National Total		Guests	Total	Residents in Spain	2017M12	37.559
National Total		Guests	Total	Residents in Spain	2017M11	42.023
National Total		Guests	Total	Residents in Spain	2017M10	57.314
National Total		Guests	Total	Residents in Spain	2017M09	50.320
National Total		Guests	Total	Residents in Spain	2017M08	69.003
National Total		Guests	Total	Residents in Spain	2017M07	75.879
National Total		Guests	Total	Residents in Spain	2017M06	81.048
National Total		Guests	Total	Residents in Spain	2017M05	74.945
National Total		Guests	Total	Residents in Spain	2017M04	75.734
National Total		Guests	Total	Residents in Spain	2017M03	54.977
National Total		Guests	Total	Residents in Spain	2017M02	35.525
National Total		Guests	Total	Residents in Spain	2017M01	20.584
National Total		Guests	Total	Residents in Spain	2016M12	31.594
National Total		Guests	Total	Residents in Spain	2016M11	34.190
National Total		Guests	Total	Residents in Spain	2016M10	52.371
National Total		Guests	Total	Residents in Spain	2016M09	45.107
National Total		Guests	Total	Residents in Spain	2016M08	66.843
National Total		Guests	Total	Residents in Spain	2016M07	73.739
National Total		Guests	Total	Residents in Spain	2016M06	82.298
National Total		Guests	Total	Residents in Spain	2016M05	78.778
National Total		Guests	Total	Residents in Spain	2016M04	63.799
National Total		Guests	Total	Residents in Spain	2016M03	63.590
National Total		Guests	Total	Residents in Spain	2016M02	36.523
National Total		Guests	Total	Residents in Spain	2016M01	24.207
National Total		Guests	Total	Residents in Spain	2015M12	28.949
National Total		Guests	Total	Residents in Spain	2015M11	33.826
National Total		Guests	Total	Residents in Spain	2015M10	50.986
National Total		Guests	Total	Residents in Spain	2015M09	39.685
National Total		Guests	Total	Residents in Spain	2015M08	63.960
National Total		Guests	Total	Residents in Spain	2015M07	63.197
National Total		Guests	Total	Residents in Spain	2015M06	73.971
National Total		Guests	Total	Residents in Spain	2015M05	75.169
National Total		Guests	Total	Residents in Spain	2015M04	65.023
National Total		Guests	Total	Residents in Spain	2015M03	57.899
National Total		Guests	Total	Residents in Spain	2015M02	33.214
National Total		Guests	Total	Residents in Spain	2015M01	20.699
National Total		Guests	Total	Residents in Spain	2014M12	29.104
National Total		Guests	Total	Residents in Spain	2014M11	34.577
National Total		Guests	Total	Residents in Spain	2014M10	45.852
National Total		Guests	Total	Residents in Spain	2014M09	39.653
National Total		Guests	Total	Residents in Spain	2014M08	68.113
National Total		Guests	Total	Residents in Spain	2014M07	70.026
National Total		Guests	Total	Residents in Spain	2014M06	80.876
National Total		Guests	Total	Residents in Spain	2014M05	76.319
National Total		Guests	Total	Residents in Spain	2014M04	66.997
National Total		Guests	Total	Residents in Spain	2014M03	47.735
National Total		Guests	Total	Residents in Spain	2014M02	31.267
National Total		Guests	Total	Residents in Spain	2014M01	17.306
National Total		Guests	Total	Residents abroad	2025M09	261.792
National Total		Guests	Total	Residents abroad	2025M08	264.572
National Total		Guests	Total	Residents abroad	2025M07	227.854
National Total		Guests	Total	Residents abroad	2025M06	247.104
National Total		Guests	Total	Residents abroad	2025M05	308.969
National Total		Guests	Total	Residents abroad	2025M04	224.453
National Total		Guests	Total	Residents abroad	2025M03	109.058
National Total		Guests	Total	Residents abroad	2025M02	86.104
National Total		Guests	Total	Residents abroad	2025M01	68.706
National Total		Guests	Total	Residents abroad	2024M12	84.488
National Total		Guests	Total	Residents abroad	2024M11	107.589
National Total		Guests	Total	Residents abroad	2024M10	210.045
National Total		Guests	Total	Residents abroad	2024M09	272.332
National Total		Guests	Total	Residents abroad	2024M08	249.847
National Total		Guests	Total	Residents abroad	2024M07	234.760
National Total		Guests	Total	Residents abroad	2024M06	253.733
National Total		Guests	Total	Residents abroad	2024M05	324.140
National Total		Guests	Total	Residents abroad	2024M04	226.697
National Total		Guests	Total	Residents abroad	2024M03	127.441
National Total		Guests	Total	Residents abroad	2024M02	97.260
National Total		Guests	Total	Residents abroad	2024M01	80.209
National Total		Guests	Total	Residents abroad	2023M12	93.842
National Total		Guests	Total	Residents abroad	2023M11	129.773
National Total		Guests	Total	Residents abroad	2023M10	269.495
National Total		Guests	Total	Residents abroad	2023M09	342.657
National Total		Guests	Total	Residents abroad	2023M08	332.093
National Total		Guests	Total	Residents abroad	2023M07	285.163
National Total		Guests	Total	Residents abroad	2023M06	282.384
National Total		Guests	Total	Residents abroad	2023M05	333.763
National Total		Guests	Total	Residents abroad	2023M04	257.294
National Total		Guests	Total	Residents abroad	2023M03	130.343
National Total		Guests	Total	Residents abroad	2023M02	77.801
National Total		Guests	Total	Residents abroad	2023M01	70.467
National Total		Guests	Total	Residents abroad	2022M12	65.483
National Total		Guests	Total	Residents abroad	2022M11	86.723
National Total		Guests	Total	Residents abroad	2022M10	200.779
National Total		Guests	Total	Residents abroad	2022M09	243.525
National Total		Guests	Total	Residents abroad	2022M08	252.295
National Total		Guests	Total	Residents abroad	2022M07	224.493
National Total		Guests	Total	Residents abroad	2022M06	238.386
National Total		Guests	Total	Residents abroad	2022M05	250.809
National Total		Guests	Total	Residents abroad	2022M04	169.270
National Total		Guests	Total	Residents abroad	2022M03	74.432
National Total		Guests	Total	Residents abroad	2022M02	48.868
National Total		Guests	Total	Residents abroad	2022M01	38.889
National Total		Guests	Total	Residents abroad	2021M12	37.894
National Total		Guests	Total	Residents abroad	2021M11	40.629
National Total		Guests	Total	Residents abroad	2021M10	107.496
National Total		Guests	Total	Residents abroad	2021M09	120.284
National Total		Guests	Total	Residents abroad	2021M08	89.670
National Total		Guests	Total	Residents abroad	2021M07	81.156
National Total		Guests	Total	Residents abroad	2021M06	31.601
National Total		Guests	Total	Residents abroad	2021M05	9.046
National Total		Guests	Total	Residents abroad	2021M04	3.061
National Total		Guests	Total	Residents abroad	2021M03	2.524
National Total		Guests	Total	Residents abroad	2021M02	2.292
National Total		Guests	Total	Residents abroad	2021M01	1.882
National Total		Guests	Total	Residents abroad	2020M12	1.677
National Total		Guests	Total	Residents abroad	2020M11	.
National Total		Guests	Total	Residents abroad	2020M10	2.643
National Total		Guests	Total	Residents abroad	2020M09	3.065
National Total		Guests	Total	Residents abroad	2020M08	6.282
National Total		Guests	Total	Residents abroad	2020M07	3.906
National Total		Guests	Total	Residents abroad	2020M06	587
National Total		Guests	Total	Residents abroad	2020M05	.
National Total		Guests	Total	Residents abroad	2020M04	.
National Total		Guests	Total	Residents abroad	2020M03	6.825
National Total		Guests	Total	Residents abroad	2020M02	19.341
National Total		Guests	Total	Residents abroad	2020M01	15.211
National Total		Guests	Total	Residents abroad	2019M12	17.660
National Total		Guests	Total	Residents abroad	2019M11	22.534
National Total		Guests	Total	Residents abroad	2019M10	28.990
National Total		Guests	Total	Residents abroad	2019M09	36.478
National Total		Guests	Total	Residents abroad	2019M08	51.085
National Total		Guests	Total	Residents abroad	2019M07	42.963
National Total		Guests	Total	Residents abroad	2019M06	35.630
National Total		Guests	Total	Residents abroad	2019M05	35.826
National Total		Guests	Total	Residents abroad	2019M04	33.509
National Total		Guests	Total	Residents abroad	2019M03	28.364
National Total		Guests	Total	Residents abroad	2019M02	19.379
National Total		Guests	Total	Residents abroad	2019M01	15.246
National Total		Guests	Total	Residents abroad	2018M12	15.769
National Total		Guests	Total	Residents abroad	2018M11	21.709
National Total		Guests	Total	Residents abroad	2018M10	29.772
National Total		Guests	Total	Residents abroad	2018M09	30.548
National Total		Guests	Total	Residents abroad	2018M08	42.028
National Total		Guests	Total	Residents abroad	2018M07	40.464
National Total		Guests	Total	Residents abroad	2018M06	32.974
National Total		Guests	Total	Residents abroad	2018M05	34.187
National Total		Guests	Total	Residents abroad	2018M04	30.903
National Total		Guests	Total	Residents abroad	2018M03	25.742
National Total		Guests	Total	Residents abroad	2018M02	19.594
National Total		Guests	Total	Residents abroad	2018M01	15.766
National Total		Guests	Total	Residents abroad	2017M12	16.292
National Total		Guests	Total	Residents abroad	2017M11	18.524
National Total		Guests	Total	Residents abroad	2017M10	29.680
National Total		Guests	Total	Residents abroad	2017M09	37.528
National Total		Guests	Total	Residents abroad	2017M08	50.225
National Total		Guests	Total	Residents abroad	2017M07	45.136
National Total		Guests	Total	Residents abroad	2017M06	38.081
National Total		Guests	Total	Residents abroad	2017M05	36.433
National Total		Guests	Total	Residents abroad	2017M04	29.088
National Total		Guests	Total	Residents abroad	2017M03	21.348
National Total		Guests	Total	Residents abroad	2017M02	15.933
National Total		Guests	Total	Residents abroad	2017M01	10.752
National Total		Guests	Total	Residents abroad	2016M12	13.309
National Total		Guests	Total	Residents abroad	2016M11	14.341
National Total		Guests	Total	Residents abroad	2016M10	28.593
National Total		Guests	Total	Residents abroad	2016M09	32.268
National Total		Guests	Total	Residents abroad	2016M08	43.215
National Total		Guests	Total	Residents abroad	2016M07	41.760
National Total		Guests	Total	Residents abroad	2016M06	31.529
National Total		Guests	Total	Residents abroad	2016M05	29.955
National Total		Guests	Total	Residents abroad	2016M04	26.437
National Total		Guests	Total	Residents abroad	2016M03	20.033
National Total		Guests	Total	Residents abroad	2016M02	15.963
National Total		Guests	Total	Residents abroad	2016M01	10.057
National Total		Guests	Total	Residents abroad	2015M12	12.134
National Total		Guests	Total	Residents abroad	2015M11	13.683
National Total		Guests	Total	Residents abroad	2015M10	27.311
National Total		Guests	Total	Residents abroad	2015M09	29.723
National Total		Guests	Total	Residents abroad	2015M08	44.141
National Total		Guests	Total	Residents abroad	2015M07	38.900
National Total		Guests	Total	Residents abroad	2015M06	28.702
National Total		Guests	Total	Residents abroad	2015M05	28.167
National Total		Guests	Total	Residents abroad	2015M04	29.294
National Total		Guests	Total	Residents abroad	2015M03	22.242
National Total		Guests	Total	Residents abroad	2015M02	13.494
National Total		Guests	Total	Residents abroad	2015M01	10.080
National Total		Guests	Total	Residents abroad	2014M12	13.734
National Total		Guests	Total	Residents abroad	2014M11	14.866
National Total		Guests	Total	Residents abroad	2014M10	25.415
National Total		Guests	Total	Residents abroad	2014M09	26.160
National Total		Guests	Total	Residents abroad	2014M08	46.838
National Total		Guests	Total	Residents abroad	2014M07	42.272
National Total		Guests	Total	Residents abroad	2014M06	30.303
National Total		Guests	Total	Residents abroad	2014M05	27.771
National Total		Guests	Total	Residents abroad	2014M04	25.534
National Total		Guests	Total	Residents abroad	2014M03	19.587
National Total		Guests	Total	Residents abroad	2014M02	11.977
National Total		Guests	Total	Residents abroad	2014M01	5.763
National Total		Overnight stays	Total		2025M09	678.893
National Total		Overnight stays	Total		2025M08	1.014.036
National Total		Overnight stays	Total		2025M07	1.076.644
National Total		Overnight stays	Total		2025M06	819.256
National Total		Overnight stays	Total		2025M05	786.019
National Total		Overnight stays	Total		2025M04	714.040
National Total		Overnight stays	Total		2025M03	413.147
National Total		Overnight stays	Total		2025M02	339.486
National Total		Overnight stays	Total		2025M01	290.650
National Total		Overnight stays	Total		2024M12	389.952
National Total		Overnight stays	Total		2024M11	438.118
National Total		Overnight stays	Total		2024M10	647.953
National Total		Overnight stays	Total		2024M09	764.360
National Total		Overnight stays	Total		2024M08	1.046.317
National Total		Overnight stays	Total		2024M07	1.115.298
National Total		Overnight stays	Total		2024M06	864.054
National Total		Overnight stays	Total		2024M05	870.221
National Total		Overnight stays	Total		2024M04	712.570
National Total		Overnight stays	Total		2024M03	600.724
National Total		Overnight stays	Total		2024M02	422.644
National Total		Overnight stays	Total		2024M01	353.986
National Total		Overnight stays	Total		2023M12	392.193
National Total		Overnight stays	Total		2023M11	447.836
National Total		Overnight stays	Total		2023M10	732.806
National Total		Overnight stays	Total		2023M09	884.786
National Total		Overnight stays	Total		2023M08	1.116.066
National Total		Overnight stays	Total		2023M07	1.268.424
National Total		Overnight stays	Total		2023M06	956.690
National Total		Overnight stays	Total		2023M05	860.168
National Total		Overnight stays	Total		2023M04	784.666
National Total		Overnight stays	Total		2023M03	547.247
National Total		Overnight stays	Total		2023M02	339.569
National Total		Overnight stays	Total		2023M01	299.991
National Total		Overnight stays	Total		2022M12	296.136
National Total		Overnight stays	Total		2022M11	328.049
National Total		Overnight stays	Total		2022M10	611.831
National Total		Overnight stays	Total		2022M09	650.890
National Total		Overnight stays	Total		2022M08	981.032
National Total		Overnight stays	Total		2022M07	1.151.957
National Total		Overnight stays	Total		2022M06	878.558
National Total		Overnight stays	Total		2022M05	709.447
National Total		Overnight stays	Total		2022M04	583.267
National Total		Overnight stays	Total		2022M03	354.980
National Total		Overnight stays	Total		2022M02	236.837
National Total		Overnight stays	Total		2022M01	177.393
National Total		Overnight stays	Total		2021M12	200.863
National Total		Overnight stays	Total		2021M11	210.353
National Total		Overnight stays	Total		2021M10	408.102
National Total		Overnight stays	Total		2021M09	409.566
National Total		Overnight stays	Total		2021M08	657.294
National Total		Overnight stays	Total		2021M07	635.003
National Total		Overnight stays	Total		2021M06	219.369
National Total		Overnight stays	Total		2021M05	92.988
National Total		Overnight stays	Total		2021M04	55.258
National Total		Overnight stays	Total		2021M03	53.493
National Total		Overnight stays	Total		2021M02	30.267
National Total		Overnight stays	Total		2021M01	25.076
National Total		Overnight stays	Total		2020M12	25.952
National Total		Overnight stays	Total		2020M11	26.470
National Total		Overnight stays	Total		2020M10	42.517
National Total		Overnight stays	Total		2020M09	43.560
National Total		Overnight stays	Total		2020M08	116.375
National Total		Overnight stays	Total		2020M07	105.377
National Total		Overnight stays	Total		2020M06	20.027
National Total		Overnight stays	Total		2020M05	8.159
National Total		Overnight stays	Total		2020M04	.
National Total		Overnight stays	Total		2020M03	78.313
National Total		Overnight stays	Total		2020M02	167.281
National Total		Overnight stays	Total		2020M01	120.731
National Total		Overnight stays	Total		2019M12	137.360
National Total		Overnight stays	Total		2019M11	158.210
National Total		Overnight stays	Total		2019M10	200.937
National Total		Overnight stays	Total		2019M09	206.000
National Total		Overnight stays	Total		2019M08	400.487
National Total		Overnight stays	Total		2019M07	501.980
National Total		Overnight stays	Total		2019M06	321.014
National Total		Overnight stays	Total		2019M05	264.120
National Total		Overnight stays	Total		2019M04	276.589
National Total		Overnight stays	Total		2019M03	216.338
National Total		Overnight stays	Total		2019M02	172.593
National Total		Overnight stays	Total		2019M01	132.461
National Total		Overnight stays	Total		2018M12	141.654
National Total		Overnight stays	Total		2018M11	156.533
National Total		Overnight stays	Total		2018M10	204.428
National Total		Overnight stays	Total		2018M09	212.141
National Total		Overnight stays	Total		2018M08	373.788
National Total		Overnight stays	Total		2018M07	509.844
National Total		Overnight stays	Total		2018M06	310.956
National Total		Overnight stays	Total		2018M05	254.008
National Total		Overnight stays	Total		2018M04	242.941
National Total		Overnight stays	Total		2018M03	236.472
National Total		Overnight stays	Total		2018M02	149.860
National Total		Overnight stays	Total		2018M01	113.283
National Total		Overnight stays	Total		2017M12	135.955
National Total		Overnight stays	Total		2017M11	144.980
National Total		Overnight stays	Total		2017M10	206.069
National Total		Overnight stays	Total		2017M09	214.376
National Total		Overnight stays	Total		2017M08	408.274
National Total		Overnight stays	Total		2017M07	474.150
National Total		Overnight stays	Total		2017M06	277.283
National Total		Overnight stays	Total		2017M05	241.776
National Total		Overnight stays	Total		2017M04	242.036
National Total		Overnight stays	Total		2017M03	173.307
National Total		Overnight stays	Total		2017M02	131.120
National Total		Overnight stays	Total		2017M01	78.557
National Total		Overnight stays	Total		2016M12	100.528
National Total		Overnight stays	Total		2016M11	100.654
National Total		Overnight stays	Total		2016M10	173.522
National Total		Overnight stays	Total		2016M09	166.833
National Total		Overnight stays	Total		2016M08	362.253
National Total		Overnight stays	Total		2016M07	452.686
National Total		Overnight stays	Total		2016M06	254.191
National Total		Overnight stays	Total		2016M05	220.885
National Total		Overnight stays	Total		2016M04	189.081
National Total		Overnight stays	Total		2016M03	195.385
National Total		Overnight stays	Total		2016M02	118.579
National Total		Overnight stays	Total		2016M01	78.923
National Total		Overnight stays	Total		2015M12	94.325
National Total		Overnight stays	Total		2015M11	96.507
National Total		Overnight stays	Total		2015M10	168.804
National Total		Overnight stays	Total		2015M09	158.256
National Total		Overnight stays	Total		2015M08	343.262
National Total		Overnight stays	Total		2015M07	402.760
National Total		Overnight stays	Total		2015M06	226.727
National Total		Overnight stays	Total		2015M05	207.765
National Total		Overnight stays	Total		2015M04	199.683
National Total		Overnight stays	Total		2015M03	171.988
National Total		Overnight stays	Total		2015M02	104.166
National Total		Overnight stays	Total		2015M01	77.908
National Total		Overnight stays	Total		2014M12	91.418
National Total		Overnight stays	Total		2014M11	100.668
National Total		Overnight stays	Total		2014M10	147.700
National Total		Overnight stays	Total		2014M09	150.986
National Total		Overnight stays	Total		2014M08	351.314
National Total		Overnight stays	Total		2014M07	450.940
National Total		Overnight stays	Total		2014M06	238.439
National Total		Overnight stays	Total		2014M05	203.160
National Total		Overnight stays	Total		2014M04	200.621
National Total		Overnight stays	Total		2014M03	138.501
National Total		Overnight stays	Total		2014M02	97.175
National Total		Overnight stays	Total		2014M01	58.704
National Total		Overnight stays	Total	Residents in Spain	2025M09	256.551
National Total		Overnight stays	Total	Residents in Spain	2025M08	590.239
National Total		Overnight stays	Total	Residents in Spain	2025M07	675.981
National Total		Overnight stays	Total	Residents in Spain	2025M06	434.795
