Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total			Guests	Total		2025M09	12.050.972
National Total			Guests	Total		2025M08	13.828.672
National Total			Guests	Total		2025M07	13.044.764
National Total			Guests	Total		2025M06	12.256.716
National Total			Guests	Total		2025M05	11.803.477
National Total			Guests	Total		2025M04	10.018.537
National Total			Guests	Total		2025M03	7.680.722
National Total			Guests	Total		2025M02	6.539.960
National Total			Guests	Total		2025M01	5.776.075
National Total			Guests	Total		2024M12	6.561.380
National Total			Guests	Total		2024M11	7.152.418
National Total			Guests	Total		2024M10	10.757.739
National Total			Guests	Total		2024M09	11.753.507
National Total			Guests	Total		2024M08	13.622.908
National Total			Guests	Total		2024M07	12.692.328
National Total			Guests	Total		2024M06	11.865.112
National Total			Guests	Total		2024M05	11.768.411
National Total			Guests	Total		2024M04	9.386.103
National Total			Guests	Total		2024M03	8.433.226
National Total			Guests	Total		2024M02	6.512.168
National Total			Guests	Total		2024M01	5.660.859
National Total			Guests	Total		2023M12	6.586.138
National Total			Guests	Total		2023M11	6.798.815
National Total			Guests	Total		2023M10	10.390.441
National Total			Guests	Total		2023M09	11.627.872
National Total			Guests	Total		2023M08	13.266.497
National Total			Guests	Total		2023M07	12.680.483
National Total			Guests	Total		2023M06	11.535.550
National Total			Guests	Total		2023M05	10.580.202
National Total			Guests	Total		2023M04	9.829.384
National Total			Guests	Total		2023M03	7.361.364
National Total			Guests	Total		2023M02	5.967.064
National Total			Guests	Total		2023M01	5.367.962
National Total			Guests	Total		2022M12	6.054.556
National Total			Guests	Total		2022M11	6.284.698
National Total			Guests	Total		2022M10	9.743.259
National Total			Guests	Total		2022M09	11.050.305
National Total			Guests	Total		2022M08	12.889.916
National Total			Guests	Total		2022M07	12.292.936
National Total			Guests	Total		2022M06	10.990.468
National Total			Guests	Total		2022M05	9.920.671
National Total			Guests	Total		2022M04	8.689.822
National Total			Guests	Total		2022M03	6.061.398
National Total			Guests	Total		2022M02	5.133.961
National Total			Guests	Total		2022M01	3.770.578
National Total			Guests	Total		2021M12	4.881.952
National Total			Guests	Total		2021M11	5.391.958
National Total			Guests	Total		2021M10	8.131.666
National Total			Guests	Total		2021M09	8.256.057
National Total			Guests	Total		2021M08	10.408.035
National Total			Guests	Total		2021M07	8.544.001
National Total			Guests	Total		2021M06	5.676.067
National Total			Guests	Total		2021M05	3.404.118
National Total			Guests	Total		2021M04	1.955.719
National Total			Guests	Total		2021M03	1.770.722
National Total			Guests	Total		2021M02	1.179.236
National Total			Guests	Total		2021M01	1.124.601
National Total			Guests	Total		2020M12	1.417.815
National Total			Guests	Total		2020M11	1.184.922
National Total			Guests	Total		2020M10	2.406.759
National Total			Guests	Total		2020M09	3.513.294
National Total			Guests	Total		2020M08	5.924.218
National Total			Guests	Total		2020M07	4.407.783
National Total			Guests	Total		2020M06	944.923
National Total			Guests	Total		2020M05	98.561
National Total			Guests	Total		2020M04	0
National Total			Guests	Total		2020M03	2.656.776
National Total			Guests	Total		2020M02	6.456.402
National Total			Guests	Total		2020M01	5.577.618
National Total			Guests	Total		2019M12	6.240.788
National Total			Guests	Total		2019M11	6.693.210
National Total			Guests	Total		2019M10	9.772.631
National Total			Guests	Total		2019M09	11.038.778
National Total			Guests	Total		2019M08	13.028.096
National Total			Guests	Total		2019M07	12.124.664
National Total			Guests	Total		2019M06	11.371.775
National Total			Guests	Total		2019M05	10.509.949
National Total			Guests	Total		2019M04	9.138.989
National Total			Guests	Total		2019M03	7.534.311
National Total			Guests	Total		2019M02	6.011.298
National Total			Guests	Total		2019M01	5.251.558
National Total			Guests	Total		2018M12	6.071.139
National Total			Guests	Total		2018M11	6.485.702
National Total			Guests	Total		2018M10	9.666.570
National Total			Guests	Total		2018M09	11.000.902
National Total			Guests	Total		2018M08	12.500.596
National Total			Guests	Total		2018M07	11.707.840
National Total			Guests	Total		2018M06	10.846.347
National Total			Guests	Total		2018M05	10.040.281
National Total			Guests	Total		2018M04	8.499.926
National Total			Guests	Total		2018M03	7.532.288
National Total			Guests	Total		2018M02	5.826.145
National Total			Guests	Total		2018M01	5.133.729
National Total			Guests	Total		2017M12	5.805.767
National Total			Guests	Total		2017M11	6.068.289
National Total			Guests	Total		2017M10	9.458.368
National Total			Guests	Total		2017M09	10.933.324
National Total			Guests	Total		2017M08	12.338.502
National Total			Guests	Total		2017M07	11.910.574
National Total			Guests	Total		2017M06	10.640.606
National Total			Guests	Total		2017M05	9.844.007
National Total			Guests	Total		2017M04	9.209.286
National Total			Guests	Total		2017M03	6.921.086
National Total			Guests	Total		2017M02	5.689.624
National Total			Guests	Total		2017M01	4.984.634
National Total			Guests	Total		2016M12	5.540.097
National Total			Guests	Total		2016M11	5.786.675
National Total			Guests	Total		2016M10	9.274.924
National Total			Guests	Total		2016M09	10.486.719
National Total			Guests	Total		2016M08	12.187.504
National Total			Guests	Total		2016M07	11.605.320
National Total			Guests	Total		2016M06	10.180.427
National Total			Guests	Total		2016M05	9.569.945
National Total			Guests	Total		2016M04	7.735.455
National Total			Guests	Total		2016M03	7.221.796
National Total			Guests	Total		2016M02	5.561.906
National Total			Guests	Total		2016M01	4.689.264
National Total			Guests	Total		2015M12	5.318.037
National Total			Guests	Total		2015M11	5.509.265
National Total			Guests	Total		2015M10	8.685.869
National Total			Guests	Total		2015M09	9.766.395
National Total			Guests	Total		2015M08	11.747.649
National Total			Guests	Total		2015M07	10.616.662
National Total			Guests	Total		2015M06	9.481.768
National Total			Guests	Total		2015M05	9.087.139
National Total			Guests	Total		2015M04	7.668.482
National Total			Guests	Total		2015M03	6.146.078
National Total			Guests	Total		2015M02	4.937.718
National Total			Guests	Total		2015M01	4.251.906
National Total			Guests	Total		2014M12	4.998.810
National Total			Guests	Total		2014M11	5.144.062
National Total			Guests	Total		2014M10	7.988.684
National Total			Guests	Total		2014M09	9.342.635
National Total			Guests	Total		2014M08	11.228.638
National Total			Guests	Total		2014M07	9.885.449
National Total			Guests	Total		2014M06	9.038.987
National Total			Guests	Total		2014M05	8.518.421
National Total			Guests	Total		2014M04	7.301.730
National Total			Guests	Total		2014M03	5.770.836
National Total			Guests	Total		2014M02	4.657.133
National Total			Guests	Total		2014M01	3.939.144
National Total			Guests	Total		2013M12	4.659.511
National Total			Guests	Total		2013M11	5.112.181
National Total			Guests	Total		2013M10	7.468.192
National Total			Guests	Total		2013M09	8.886.542
National Total			Guests	Total		2013M08	10.715.764
National Total			Guests	Total		2013M07	9.644.412
National Total			Guests	Total		2013M06	8.725.022
National Total			Guests	Total		2013M05	8.113.029
National Total			Guests	Total		2013M04	6.283.128
National Total			Guests	Total		2013M03	6.171.037
National Total			Guests	Total		2013M02	4.347.642
National Total			Guests	Total		2013M01	3.694.459
National Total			Guests	Total		2012M12	4.334.680
National Total			Guests	Total		2012M11	4.772.075
National Total			Guests	Total		2012M10	7.258.395
National Total			Guests	Total		2012M09	8.756.163
National Total			Guests	Total		2012M08	10.239.776
National Total			Guests	Total		2012M07	9.616.052
National Total			Guests	Total		2012M06	8.587.613
National Total			Guests	Total		2012M05	7.725.234
National Total			Guests	Total		2012M04	7.103.715
National Total			Guests	Total		2012M03	5.771.561
National Total			Guests	Total		2012M02	4.762.348
National Total			Guests	Total		2012M01	4.034.869
National Total			Guests	Total		2011M12	4.594.592
National Total			Guests	Total		2011M11	4.902.197
National Total			Guests	Total		2011M10	7.673.432
National Total			Guests	Total		2011M09	8.916.593
National Total			Guests	Total		2011M08	10.608.293
National Total			Guests	Total		2011M07	10.051.429
National Total			Guests	Total		2011M06	8.809.958
National Total			Guests	Total		2011M05	7.797.227
National Total			Guests	Total		2011M04	7.423.129
National Total			Guests	Total		2011M03	5.829.113
National Total			Guests	Total		2011M02	4.831.381
National Total			Guests	Total		2011M01	3.929.632
National Total			Guests	Total		2010M12	4.650.521
National Total			Guests	Total		2010M11	4.976.017
National Total			Guests	Total		2010M10	7.679.996
National Total			Guests	Total		2010M09	8.400.100
National Total			Guests	Total		2010M08	10.014.468
National Total			Guests	Total		2010M07	9.399.554
National Total			Guests	Total		2010M06	8.087.317
National Total			Guests	Total		2010M05	7.810.020
National Total			Guests	Total		2010M04	6.786.265
National Total			Guests	Total		2010M03	5.706.500
National Total			Guests	Total		2010M02	4.610.953
National Total			Guests	Total		2010M01	3.767.159
National Total			Guests	Total		2009M12	4.435.027
National Total			Guests	Total		2009M11	4.710.822
National Total			Guests	Total		2009M10	7.011.612
National Total			Guests	Total		2009M09	7.827.994
National Total			Guests	Total		2009M08	9.423.345
National Total			Guests	Total		2009M07	8.712.905
National Total			Guests	Total		2009M06	7.630.129
National Total			Guests	Total		2009M05	7.378.804
National Total			Guests	Total		2009M04	6.542.718
National Total			Guests	Total		2009M03	5.303.127
National Total			Guests	Total		2009M02	4.447.323
National Total			Guests	Total		2009M01	3.716.510
National Total			Guests	Total		2008M12	4.326.374
National Total			Guests	Total		2008M11	4.870.882
National Total			Guests	Total		2008M10	7.035.977
National Total			Guests	Total		2008M09	8.359.855
National Total			Guests	Total		2008M08	9.954.774
National Total			Guests	Total		2008M07	9.219.035
National Total			Guests	Total		2008M06	8.280.336
National Total			Guests	Total		2008M05	8.109.904
National Total			Guests	Total		2008M04	6.656.665
National Total			Guests	Total		2008M03	6.614.348
National Total			Guests	Total		2008M02	5.242.247
National Total			Guests	Total		2008M01	4.328.480
National Total			Guests	Total		2007M12	4.771.361
National Total			Guests	Total		2007M11	5.534.255
National Total			Guests	Total		2007M10	7.540.505
National Total			Guests	Total		2007M09	8.621.798
National Total			Guests	Total		2007M08	10.025.687
National Total			Guests	Total		2007M07	9.176.950
National Total			Guests	Total		2007M06	8.555.535
National Total			Guests	Total		2007M05	7.639.348
National Total			Guests	Total		2007M04	7.394.418
National Total			Guests	Total		2007M03	6.151.952
National Total			Guests	Total		2007M02	4.853.246
National Total			Guests	Total		2007M01	4.158.378
National Total			Guests	Total		2006M12	4.672.741
National Total			Guests	Total		2006M11	5.114.939
National Total			Guests	Total		2006M10	7.357.196
National Total			Guests	Total		2006M09	8.420.366
National Total			Guests	Total		2006M08	9.713.364
National Total			Guests	Total		2006M07	9.057.841
National Total			Guests	Total		2006M06	8.156.578
National Total			Guests	Total		2006M05	7.591.789
National Total			Guests	Total		2006M04	7.293.282
National Total			Guests	Total		2006M03	5.763.835
National Total			Guests	Total		2006M02	4.709.293
National Total			Guests	Total		2006M01	4.004.676
National Total			Guests	Total		2005M12	4.030.203
National Total			Guests	Total		2005M11	4.511.989
National Total			Guests	Total		2005M10	6.414.668
National Total			Guests	Total		2005M09	7.442.751
National Total			Guests	Total		2005M08	8.555.081
National Total			Guests	Total		2005M07	7.795.374
National Total			Guests	Total		2005M06	6.971.240
National Total			Guests	Total		2005M05	6.737.689
National Total			Guests	Total		2005M04	5.516.765
National Total			Guests	Total		2005M03	5.247.632
National Total			Guests	Total		2005M02	4.048.915
National Total			Guests	Total		2005M01	3.356.718
National Total			Guests	Total		2004M12	3.877.669
National Total			Guests	Total		2004M11	4.135.114
National Total			Guests	Total		2004M10	6.227.271
National Total			Guests	Total		2004M09	6.996.313
National Total			Guests	Total		2004M08	8.174.422
National Total			Guests	Total		2004M07	7.232.976
National Total			Guests	Total		2004M06	6.525.030
National Total			Guests	Total		2004M05	6.211.439
National Total			Guests	Total		2004M04	5.591.761
National Total			Guests	Total		2004M03	4.735.606
National Total			Guests	Total		2004M02	3.970.007
National Total			Guests	Total		2004M01	3.153.660
National Total			Guests	Total		2003M12	3.588.510
National Total			Guests	Total		2003M11	3.868.099
National Total			Guests	Total		2003M10	5.537.248
National Total			Guests	Total		2003M09	6.517.598
National Total			Guests	Total		2003M08	7.697.588
National Total			Guests	Total		2003M07	6.795.963
National Total			Guests	Total		2003M06	6.276.681
National Total			Guests	Total		2003M05	5.984.961
National Total			Guests	Total		2003M04	5.408.500
National Total			Guests	Total		2003M03	4.421.552
National Total			Guests	Total		2003M02	3.463.674
National Total			Guests	Total		2003M01	2.971.006
National Total			Guests	Total		2002M12	3.383.399
National Total			Guests	Total		2002M11	3.714.810
National Total			Guests	Total		2002M10	5.360.250
National Total			Guests	Total		2002M09	6.224.753
National Total			Guests	Total		2002M08	7.383.775
National Total			Guests	Total		2002M07	6.407.711
National Total			Guests	Total		2002M06	5.725.690
National Total			Guests	Total		2002M05	5.677.357
National Total			Guests	Total		2002M04	4.853.120
National Total			Guests	Total		2002M03	4.756.621
National Total			Guests	Total		2002M02	3.507.891
National Total			Guests	Total		2002M01	2.873.435
National Total			Guests	Total		2001M12	3.214.821
National Total			Guests	Total		2001M11	3.657.828
National Total			Guests	Total		2001M10	5.310.403
National Total			Guests	Total		2001M09	6.307.038
National Total			Guests	Total		2001M08	7.179.051
National Total			Guests	Total		2001M07	6.405.959
National Total			Guests	Total		2001M06	5.914.352
National Total			Guests	Total		2001M05	5.673.119
National Total			Guests	Total		2001M04	5.384.678
National Total			Guests	Total		2001M03	4.333.254
National Total			Guests	Total		2001M02	3.518.883
National Total			Guests	Total		2001M01	3.004.915
National Total			Guests	Total		2000M12	3.347.855
National Total			Guests	Total		2000M11	3.691.092
National Total			Guests	Total		2000M10	5.368.961
National Total			Guests	Total		2000M09	6.327.590
National Total			Guests	Total		2000M08	6.994.683
National Total			Guests	Total		2000M07	6.374.389
National Total			Guests	Total		2000M06	5.806.706
National Total			Guests	Total		2000M05	5.592.100
National Total			Guests	Total		2000M04	5.335.325
National Total			Guests	Total		2000M03	4.244.207
National Total			Guests	Total		2000M02	3.390.877
National Total			Guests	Total		2000M01	2.808.737
National Total			Guests	Total		1999M12	3.204.082
National Total			Guests	Total		1999M11	3.570.715
National Total			Guests	Total		1999M10	5.447.890
National Total			Guests	Total		1999M09	6.349.504
National Total			Guests	Total		1999M08	6.986.211
National Total			Guests	Total		1999M07	6.415.298
National Total			Guests	Total		1999M06	5.834.331
National Total			Guests	Total		1999M05	5.724.555
National Total			Guests	Total		1999M04	4.931.385
National Total			Guests	Total		1999M03	4.143.343
National Total			Guests	Total		1999M02	3.205.892
National Total			Guests	Total		1999M01	2.775.738
National Total			Guests	Total	Residents in Spain	2025M09	5.085.693
National Total			Guests	Total	Residents in Spain	2025M08	6.409.255
National Total			Guests	Total	Residents in Spain	2025M07	5.842.459
National Total			Guests	Total	Residents in Spain	2025M06	5.440.374
National Total			Guests	Total	Residents in Spain	2025M05	4.933.125
National Total			Guests	Total	Residents in Spain	2025M04	4.547.495
National Total			Guests	Total	Residents in Spain	2025M03	3.780.529
National Total			Guests	Total	Residents in Spain	2025M02	3.419.893
National Total			Guests	Total	Residents in Spain	2025M01	2.919.287
National Total			Guests	Total	Residents in Spain	2024M12	3.645.324
National Total			Guests	Total	Residents in Spain	2024M11	3.755.355
National Total			Guests	Total	Residents in Spain	2024M10	4.523.969
National Total			Guests	Total	Residents in Spain	2024M09	4.991.258
National Total			Guests	Total	Residents in Spain	2024M08	6.363.350
National Total			Guests	Total	Residents in Spain	2024M07	5.756.518
National Total			Guests	Total	Residents in Spain	2024M06	5.419.681
National Total			Guests	Total	Residents in Spain	2024M05	4.928.517
National Total			Guests	Total	Residents in Spain	2024M04	4.181.084
National Total			Guests	Total	Residents in Spain	2024M03	4.412.670
National Total			Guests	Total	Residents in Spain	2024M02	3.422.317
National Total			Guests	Total	Residents in Spain	2024M01	2.919.329
National Total			Guests	Total	Residents in Spain	2023M12	3.736.128
National Total			Guests	Total	Residents in Spain	2023M11	3.586.759
National Total			Guests	Total	Residents in Spain	2023M10	4.589.155
National Total			Guests	Total	Residents in Spain	2023M09	5.122.862
National Total			Guests	Total	Residents in Spain	2023M08	6.381.789
National Total			Guests	Total	Residents in Spain	2023M07	6.012.479
National Total			Guests	Total	Residents in Spain	2023M06	5.455.490
National Total			Guests	Total	Residents in Spain	2023M05	4.553.381
National Total			Guests	Total	Residents in Spain	2023M04	4.983.861
National Total			Guests	Total	Residents in Spain	2023M03	3.983.218
National Total			Guests	Total	Residents in Spain	2023M02	3.337.995
National Total			Guests	Total	Residents in Spain	2023M01	2.964.949
National Total			Guests	Total	Residents in Spain	2022M12	3.567.132
National Total			Guests	Total	Residents in Spain	2022M11	3.541.109
National Total			Guests	Total	Residents in Spain	2022M10	4.657.750
National Total			Guests	Total	Residents in Spain	2022M09	5.178.258
National Total			Guests	Total	Residents in Spain	2022M08	6.526.507
National Total			Guests	Total	Residents in Spain	2022M07	6.075.062
National Total			Guests	Total	Residents in Spain	2022M06	5.422.886
National Total			Guests	Total	Residents in Spain	2022M05	4.672.236
National Total			Guests	Total	Residents in Spain	2022M04	4.733.976
National Total			Guests	Total	Residents in Spain	2022M03	3.432.900
National Total			Guests	Total	Residents in Spain	2022M02	3.164.177
National Total			Guests	Total	Residents in Spain	2022M01	2.342.492
National Total			Guests	Total	Residents in Spain	2021M12	3.164.988
National Total			Guests	Total	Residents in Spain	2021M11	3.218.059
National Total			Guests	Total	Residents in Spain	2021M10	4.590.112
National Total			Guests	Total	Residents in Spain	2021M09	4.952.050
National Total			Guests	Total	Residents in Spain	2021M08	6.935.006
National Total			Guests	Total	Residents in Spain	2021M07	5.772.248
National Total			Guests	Total	Residents in Spain	2021M06	4.179.628
National Total			Guests	Total	Residents in Spain	2021M05	2.580.060
National Total			Guests	Total	Residents in Spain	2021M04	1.559.023
National Total			Guests	Total	Residents in Spain	2021M03	1.456.708
National Total			Guests	Total	Residents in Spain	2021M02	975.226
National Total			Guests	Total	Residents in Spain	2021M01	889.575
National Total			Guests	Total	Residents in Spain	2020M12	1.097.429
National Total			Guests	Total	Residents in Spain	2020M11	925.018
National Total			Guests	Total	Residents in Spain	2020M10	1.917.987
National Total			Guests	Total	Residents in Spain	2020M09	2.905.879
National Total			Guests	Total	Residents in Spain	2020M08	4.648.568
National Total			Guests	Total	Residents in Spain	2020M07	3.271.958
National Total			Guests	Total	Residents in Spain	2020M06	824.393
National Total			Guests	Total	Residents in Spain	2020M05	84.804
National Total			Guests	Total	Residents in Spain	2020M04	0
National Total			Guests	Total	Residents in Spain	2020M03	1.455.613
National Total			Guests	Total	Residents in Spain	2020M02	3.636.463
National Total			Guests	Total	Residents in Spain	2020M01	2.926.703
National Total			Guests	Total	Residents in Spain	2019M12	3.577.792
National Total			Guests	Total	Residents in Spain	2019M11	3.585.911
National Total			Guests	Total	Residents in Spain	2019M10	4.321.124
National Total			Guests	Total	Residents in Spain	2019M09	4.809.515
National Total			Guests	Total	Residents in Spain	2019M08	6.432.729
National Total			Guests	Total	Residents in Spain	2019M07	5.669.457
National Total			Guests	Total	Residents in Spain	2019M06	5.183.371
National Total			Guests	Total	Residents in Spain	2019M05	4.578.814
National Total			Guests	Total	Residents in Spain	2019M04	4.470.668
National Total			Guests	Total	Residents in Spain	2019M03	4.033.782
National Total			Guests	Total	Residents in Spain	2019M02	3.315.368
National Total			Guests	Total	Residents in Spain	2019M01	2.755.656
National Total			Guests	Total	Residents in Spain	2018M12	3.494.108
National Total			Guests	Total	Residents in Spain	2018M11	3.551.431
National Total			Guests	Total	Residents in Spain	2018M10	4.354.922
National Total			Guests	Total	Residents in Spain	2018M09	4.840.570
National Total			Guests	Total	Residents in Spain	2018M08	6.181.557
National Total			Guests	Total	Residents in Spain	2018M07	5.380.698
National Total			Guests	Total	Residents in Spain	2018M06	4.868.754
National Total			Guests	Total	Residents in Spain	2018M05	4.250.360
National Total			Guests	Total	Residents in Spain	2018M04	4.154.873
National Total			Guests	Total	Residents in Spain	2018M03	4.136.756
National Total			Guests	Total	Residents in Spain	2018M02	3.208.522
National Total			Guests	Total	Residents in Spain	2018M01	2.743.159
National Total			Guests	Total	Residents in Spain	2017M12	3.461.708
National Total			Guests	Total	Residents in Spain	2017M11	3.340.928
National Total			Guests	Total	Residents in Spain	2017M10	4.302.582
National Total			Guests	Total	Residents in Spain	2017M09	4.762.659
National Total			Guests	Total	Residents in Spain	2017M08	5.970.747
National Total			Guests	Total	Residents in Spain	2017M07	5.453.609
National Total			Guests	Total	Residents in Spain	2017M06	4.785.681
National Total			Guests	Total	Residents in Spain	2017M05	4.177.945
National Total			Guests	Total	Residents in Spain	2017M04	4.688.384
National Total			Guests	Total	Residents in Spain	2017M03	3.706.176
National Total			Guests	Total	Residents in Spain	2017M02	3.157.734
National Total			Guests	Total	Residents in Spain	2017M01	2.655.015
National Total			Guests	Total	Residents in Spain	2016M12	3.231.853
National Total			Guests	Total	Residents in Spain	2016M11	3.186.298
National Total			Guests	Total	Residents in Spain	2016M10	4.358.634
National Total			Guests	Total	Residents in Spain	2016M09	4.672.782
National Total			Guests	Total	Residents in Spain	2016M08	5.993.466
National Total			Guests	Total	Residents in Spain	2016M07	5.504.356
National Total			Guests	Total	Residents in Spain	2016M06	4.723.090
National Total			Guests	Total	Residents in Spain	2016M05	4.197.064
National Total			Guests	Total	Residents in Spain	2016M04	3.755.761
National Total			Guests	Total	Residents in Spain	2016M03	4.110.169
National Total			Guests	Total	Residents in Spain	2016M02	3.191.750
National Total			Guests	Total	Residents in Spain	2016M01	2.618.022
National Total			Guests	Total	Residents in Spain	2015M12	3.220.404
National Total			Guests	Total	Residents in Spain	2015M11	3.055.877
National Total			Guests	Total	Residents in Spain	2015M10	4.137.843
National Total			Guests	Total	Residents in Spain	2015M09	4.504.038
National Total			Guests	Total	Residents in Spain	2015M08	5.945.162
National Total			Guests	Total	Residents in Spain	2015M07	5.175.659
National Total			Guests	Total	Residents in Spain	2015M06	4.587.906
National Total			Guests	Total	Residents in Spain	2015M05	4.102.767
National Total			Guests	Total	Residents in Spain	2015M04	4.031.142
National Total			Guests	Total	Residents in Spain	2015M03	3.490.443
National Total			Guests	Total	Residents in Spain	2015M02	2.878.965
National Total			Guests	Total	Residents in Spain	2015M01	2.393.392
National Total			Guests	Total	Residents in Spain	2014M12	3.062.373
National Total			Guests	Total	Residents in Spain	2014M11	2.962.597
National Total			Guests	Total	Residents in Spain	2014M10	3.801.189
National Total			Guests	Total	Residents in Spain	2014M09	4.271.468
National Total			Guests	Total	Residents in Spain	2014M08	5.684.286
National Total			Guests	Total	Residents in Spain	2014M07	4.798.578
National Total			Guests	Total	Residents in Spain	2014M06	4.270.431
National Total			Guests	Total	Residents in Spain	2014M05	3.901.968
National Total			Guests	Total	Residents in Spain	2014M04	3.840.663
National Total			Guests	Total	Residents in Spain	2014M03	3.161.425
National Total			Guests	Total	Residents in Spain	2014M02	2.739.686
National Total			Guests	Total	Residents in Spain	2014M01	2.188.084
National Total			Guests	Total	Residents in Spain	2013M12	2.830.104
National Total			Guests	Total	Residents in Spain	2013M11	2.962.040
National Total			Guests	Total	Residents in Spain	2013M10	3.529.310
National Total			Guests	Total	Residents in Spain	2013M09	4.055.351
National Total			Guests	Total	Residents in Spain	2013M08	5.426.618
National Total			Guests	Total	Residents in Spain	2013M07	4.622.498
National Total			Guests	Total	Residents in Spain	2013M06	4.109.160
National Total			Guests	Total	Residents in Spain	2013M05	3.678.011
National Total			Guests	Total	Residents in Spain	2013M04	3.107.991
National Total			Guests	Total	Residents in Spain	2013M03	3.596.941
National Total			Guests	Total	Residents in Spain	2013M02	2.543.898
National Total			Guests	Total	Residents in Spain	2013M01	2.107.452
National Total			Guests	Total	Residents in Spain	2012M12	2.644.571
National Total			Guests	Total	Residents in Spain	2012M11	2.730.498
National Total			Guests	Total	Residents in Spain	2012M10	3.551.117
National Total			Guests	Total	Residents in Spain	2012M09	4.020.495
National Total			Guests	Total	Residents in Spain	2012M08	5.213.797
National Total			Guests	Total	Residents in Spain	2012M07	4.578.014
National Total			Guests	Total	Residents in Spain	2012M06	4.164.269
National Total			Guests	Total	Residents in Spain	2012M05	3.610.640
National Total			Guests	Total	Residents in Spain	2012M04	3.877.984
National Total			Guests	Total	Residents in Spain	2012M03	3.344.772
National Total			Guests	Total	Residents in Spain	2012M02	2.898.921
National Total			Guests	Total	Residents in Spain	2012M01	2.390.674
National Total			Guests	Total	Residents in Spain	2011M12	2.893.004
National Total			Guests	Total	Residents in Spain	2011M11	2.891.744
National Total			Guests	Total	Residents in Spain	2011M10	3.909.150
National Total			Guests	Total	Residents in Spain	2011M09	4.424.189
National Total			Guests	Total	Residents in Spain	2011M08	5.615.032
National Total			Guests	Total	Residents in Spain	2011M07	5.093.546
National Total			Guests	Total	Residents in Spain	2011M06	4.430.197
National Total			Guests	Total	Residents in Spain	2011M05	3.746.751
National Total			Guests	Total	Residents in Spain	2011M04	4.088.344
National Total			Guests	Total	Residents in Spain	2011M03	3.380.332
National Total			Guests	Total	Residents in Spain	2011M02	2.994.483
National Total			Guests	Total	Residents in Spain	2011M01	2.358.110
National Total			Guests	Total	Residents in Spain	2010M12	3.000.911
National Total			Guests	Total	Residents in Spain	2010M11	2.990.886
National Total			Guests	Total	Residents in Spain	2010M10	4.186.876
National Total			Guests	Total	Residents in Spain	2010M09	4.307.901
National Total			Guests	Total	Residents in Spain	2010M08	5.599.468
National Total			Guests	Total	Residents in Spain	2010M07	5.002.604
National Total			Guests	Total	Residents in Spain	2010M06	4.386.962
National Total			Guests	Total	Residents in Spain	2010M05	4.042.148
National Total			Guests	Total	Residents in Spain	2010M04	3.877.568
National Total			Guests	Total	Residents in Spain	2010M03	3.543.609
National Total			Guests	Total	Residents in Spain	2010M02	2.943.090
National Total			Guests	Total	Residents in Spain	2010M01	2.351.307
National Total			Guests	Total	Residents in Spain	2009M12	2.936.381
National Total			Guests	Total	Residents in Spain	2009M11	2.990.558
National Total			Guests	Total	Residents in Spain	2009M10	3.959.267
National Total			Guests	Total	Residents in Spain	2009M09	4.277.206
National Total			Guests	Total	Residents in Spain	2009M08	5.563.505
National Total			Guests	Total	Residents in Spain	2009M07	4.888.672
National Total			Guests	Total	Residents in Spain	2009M06	4.188.954
National Total			Guests	Total	Residents in Spain	2009M05	3.939.334
National Total			Guests	Total	Residents in Spain	2009M04	3.878.166
National Total			Guests	Total	Residents in Spain	2009M03	3.292.594
National Total			Guests	Total	Residents in Spain	2009M02	2.892.445
National Total			Guests	Total	Residents in Spain	2009M01	2.331.000
National Total			Guests	Total	Residents in Spain	2008M12	2.829.046
National Total			Guests	Total	Residents in Spain	2008M11	3.072.911
National Total			Guests	Total	Residents in Spain	2008M10	3.839.709
National Total			Guests	Total	Residents in Spain	2008M09	4.425.435
National Total			Guests	Total	Residents in Spain	2008M08	5.584.157
National Total			Guests	Total	Residents in Spain	2008M07	4.977.811
National Total			Guests	Total	Residents in Spain	2008M06	4.443.768
National Total			Guests	Total	Residents in Spain	2008M05	4.226.211
National Total			Guests	Total	Residents in Spain	2008M04	3.744.345
National Total			Guests	Total	Residents in Spain	2008M03	4.097.905
National Total			Guests	Total	Residents in Spain	2008M02	3.326.713
National Total			Guests	Total	Residents in Spain	2008M01	2.673.147
National Total			Guests	Total	Residents in Spain	2007M12	3.064.815
National Total			Guests	Total	Residents in Spain	2007M11	3.502.020
National Total			Guests	Total	Residents in Spain	2007M10	4.224.929
National Total			Guests	Total	Residents in Spain	2007M09	4.604.220
National Total			Guests	Total	Residents in Spain	2007M08	5.654.061
National Total			Guests	Total	Residents in Spain	2007M07	5.003.539
National Total			Guests	Total	Residents in Spain	2007M06	4.658.070
National Total			Guests	Total	Residents in Spain	2007M05	4.015.617
National Total			Guests	Total	Residents in Spain	2007M04	4.450.863
National Total			Guests	Total	Residents in Spain	2007M03	3.769.341
National Total			Guests	Total	Residents in Spain	2007M02	3.088.894
National Total			Guests	Total	Residents in Spain	2007M01	2.604.319
National Total			Guests	Total	Residents in Spain	2006M12	3.125.022
National Total			Guests	Total	Residents in Spain	2006M11	3.254.904
National Total			Guests	Total	Residents in Spain	2006M10	4.146.937
National Total			Guests	Total	Residents in Spain	2006M09	4.563.672
