Provinces	Travellers and overnight stays	Residence	Periodo	Total
01 Araba/Álava	Guests	Residents abroad	2019M11	40
01 Araba/Álava	Guests	Residents abroad	2019M10	95
01 Araba/Álava	Guests	Residents abroad	2019M09	71
01 Araba/Álava	Guests	Residents abroad	2019M08	566
01 Araba/Álava	Guests	Residents abroad	2019M07	422
01 Araba/Álava	Guests	Residents abroad	2019M06	85
01 Araba/Álava	Guests	Residents abroad	2019M05	77
01 Araba/Álava	Guests	Residents abroad	2019M04	117
01 Araba/Álava	Guests	Residents abroad	2019M03	57
01 Araba/Álava	Guests	Residents abroad	2019M02	39
01 Araba/Álava	Guests	Residents abroad	2019M01	63
01 Araba/Álava	Guests	Residents abroad	2018M12	26
01 Araba/Álava	Guests	Residents abroad	2018M11	22
01 Araba/Álava	Guests	Residents abroad	2018M10	78
01 Araba/Álava	Guests	Residents abroad	2018M09	95
01 Araba/Álava	Guests	Residents abroad	2018M08	330
01 Araba/Álava	Guests	Residents abroad	2018M07	384
01 Araba/Álava	Guests	Residents abroad	2018M06	55
01 Araba/Álava	Guests	Residents abroad	2018M05	155
01 Araba/Álava	Guests	Residents abroad	2018M04	117
01 Araba/Álava	Guests	Residents abroad	2018M03	61
01 Araba/Álava	Guests	Residents abroad	2018M02	12
01 Araba/Álava	Guests	Residents abroad	2018M01	31
01 Araba/Álava	Guests	Residents abroad	2017M12	27
01 Araba/Álava	Guests	Residents abroad	2017M11	37
01 Araba/Álava	Guests	Residents abroad	2017M10	74
01 Araba/Álava	Guests	Residents abroad	2017M09	94
01 Araba/Álava	Guests	Residents abroad	2017M08	371
01 Araba/Álava	Guests	Residents abroad	2017M07	269
01 Araba/Álava	Guests	Residents abroad	2017M06	46
01 Araba/Álava	Guests	Residents abroad	2017M05	126
01 Araba/Álava	Guests	Residents abroad	2017M04	75
01 Araba/Álava	Guests	Residents abroad	2017M03	73
01 Araba/Álava	Guests	Residents abroad	2017M02	26
01 Araba/Álava	Guests	Residents abroad	2017M01	23
01 Araba/Álava	Guests	Residents abroad	2016M12	25
01 Araba/Álava	Guests	Residents abroad	2016M11	34
01 Araba/Álava	Guests	Residents abroad	2016M10	21
01 Araba/Álava	Guests	Residents abroad	2016M09	70
01 Araba/Álava	Guests	Residents abroad	2016M08	419
01 Araba/Álava	Guests	Residents abroad	2016M07	361
01 Araba/Álava	Guests	Residents abroad	2016M06	130
01 Araba/Álava	Guests	Residents abroad	2016M05	89
01 Araba/Álava	Guests	Residents abroad	2016M04	87
01 Araba/Álava	Guests	Residents abroad	2016M03	85
01 Araba/Álava	Guests	Residents abroad	2016M02	31
01 Araba/Álava	Guests	Residents abroad	2016M01	25
01 Araba/Álava	Guests	Residents abroad	2015M12	109
01 Araba/Álava	Guests	Residents abroad	2015M11	55
01 Araba/Álava	Guests	Residents abroad	2015M10	77
01 Araba/Álava	Guests	Residents abroad	2015M09	151
01 Araba/Álava	Guests	Residents abroad	2015M08	527
01 Araba/Álava	Guests	Residents abroad	2015M07	544
01 Araba/Álava	Guests	Residents abroad	2015M06	158
01 Araba/Álava	Guests	Residents abroad	2015M05	143
01 Araba/Álava	Guests	Residents abroad	2015M04	71
01 Araba/Álava	Guests	Residents abroad	2015M03	59
01 Araba/Álava	Guests	Residents abroad	2015M02	52
01 Araba/Álava	Guests	Residents abroad	2015M01	80
01 Araba/Álava	Guests	Residents abroad	2014M12	61
01 Araba/Álava	Guests	Residents abroad	2014M11	77
01 Araba/Álava	Guests	Residents abroad	2014M10	63
01 Araba/Álava	Guests	Residents abroad	2014M09	146
01 Araba/Álava	Guests	Residents abroad	2014M08	233
01 Araba/Álava	Guests	Residents abroad	2014M07	388
01 Araba/Álava	Guests	Residents abroad	2014M06	144
01 Araba/Álava	Guests	Residents abroad	2014M05	76
01 Araba/Álava	Guests	Residents abroad	2014M04	114
01 Araba/Álava	Guests	Residents abroad	2014M03	63
01 Araba/Álava	Guests	Residents abroad	2014M02	120
01 Araba/Álava	Guests	Residents abroad	2014M01	16
01 Araba/Álava	Guests	Residents abroad	2013M12	""
01 Araba/Álava	Guests	Residents abroad	2013M11	""
01 Araba/Álava	Guests	Residents abroad	2013M10	""
01 Araba/Álava	Guests	Residents abroad	2013M09	""
01 Araba/Álava	Guests	Residents abroad	2013M08	""
01 Araba/Álava	Guests	Residents abroad	2013M07	""
01 Araba/Álava	Guests	Residents abroad	2013M06	""
01 Araba/Álava	Guests	Residents abroad	2013M05	""
01 Araba/Álava	Guests	Residents abroad	2013M04	""
01 Araba/Álava	Guests	Residents abroad	2013M03	""
01 Araba/Álava	Guests	Residents abroad	2013M02	""
01 Araba/Álava	Guests	Residents abroad	2013M01	""
01 Araba/Álava	Guests	Residents abroad	2012M12	""
01 Araba/Álava	Guests	Residents abroad	2012M11	""
01 Araba/Álava	Guests	Residents abroad	2012M10	""
01 Araba/Álava	Guests	Residents abroad	2012M09	""
01 Araba/Álava	Guests	Residents abroad	2012M08	""
01 Araba/Álava	Guests	Residents abroad	2012M07	""
01 Araba/Álava	Guests	Residents abroad	2012M06	""
01 Araba/Álava	Guests	Residents abroad	2012M05	""
01 Araba/Álava	Guests	Residents abroad	2012M04	""
01 Araba/Álava	Guests	Residents abroad	2012M03	""
01 Araba/Álava	Guests	Residents abroad	2012M02	""
01 Araba/Álava	Guests	Residents abroad	2012M01	""
01 Araba/Álava	Guests	Residents abroad	2011M12	""
01 Araba/Álava	Guests	Residents abroad	2011M11	""
01 Araba/Álava	Guests	Residents abroad	2011M10	""
01 Araba/Álava	Guests	Residents abroad	2011M09	""
01 Araba/Álava	Guests	Residents abroad	2011M08	""
01 Araba/Álava	Guests	Residents abroad	2011M07	""
01 Araba/Álava	Guests	Residents abroad	2011M06	""
01 Araba/Álava	Guests	Residents abroad	2011M05	""
01 Araba/Álava	Guests	Residents abroad	2011M04	""
01 Araba/Álava	Guests	Residents abroad	2011M03	""
01 Araba/Álava	Guests	Residents abroad	2011M02	""
01 Araba/Álava	Guests	Residents abroad	2011M01	""
01 Araba/Álava	Guests	Residents abroad	2010M12	""
01 Araba/Álava	Guests	Residents abroad	2010M11	""
01 Araba/Álava	Guests	Residents abroad	2010M10	""
01 Araba/Álava	Guests	Residents abroad	2010M09	""
01 Araba/Álava	Guests	Residents abroad	2010M08	""
01 Araba/Álava	Guests	Residents abroad	2010M07	""
01 Araba/Álava	Guests	Residents abroad	2010M06	""
01 Araba/Álava	Guests	Residents abroad	2010M05	""
01 Araba/Álava	Guests	Residents abroad	2010M04	""
01 Araba/Álava	Guests	Residents abroad	2010M03	""
01 Araba/Álava	Guests	Residents abroad	2010M02	""
01 Araba/Álava	Guests	Residents abroad	2010M01	""
01 Araba/Álava	Guests	Residents abroad	2009M12	""
01 Araba/Álava	Guests	Residents abroad	2009M11	""
01 Araba/Álava	Guests	Residents abroad	2009M10	""
01 Araba/Álava	Guests	Residents abroad	2009M09	""
01 Araba/Álava	Guests	Residents abroad	2009M08	""
01 Araba/Álava	Guests	Residents abroad	2009M07	""
01 Araba/Álava	Guests	Residents abroad	2009M06	""
01 Araba/Álava	Guests	Residents abroad	2009M05	""
01 Araba/Álava	Guests	Residents abroad	2009M04	""
01 Araba/Álava	Guests	Residents abroad	2009M03	""
01 Araba/Álava	Guests	Residents abroad	2009M02	""
01 Araba/Álava	Guests	Residents abroad	2009M01	""
01 Araba/Álava	Guests	Residents abroad	2008M12	""
01 Araba/Álava	Guests	Residents abroad	2008M11	""
01 Araba/Álava	Guests	Residents abroad	2008M10	""
01 Araba/Álava	Guests	Residents abroad	2008M09	""
01 Araba/Álava	Guests	Residents abroad	2008M08	""
01 Araba/Álava	Guests	Residents abroad	2008M07	""
01 Araba/Álava	Guests	Residents abroad	2008M06	""
01 Araba/Álava	Guests	Residents abroad	2008M05	""
01 Araba/Álava	Guests	Residents abroad	2008M04	""
01 Araba/Álava	Guests	Residents abroad	2008M03	""
01 Araba/Álava	Guests	Residents abroad	2008M02	""
01 Araba/Álava	Guests	Residents abroad	2008M01	""
01 Araba/Álava	Guests	Residents abroad	2007M12	""
01 Araba/Álava	Guests	Residents abroad	2007M11	""
01 Araba/Álava	Guests	Residents abroad	2007M10	""
01 Araba/Álava	Guests	Residents abroad	2007M09	""
01 Araba/Álava	Guests	Residents abroad	2007M08	""
01 Araba/Álava	Guests	Residents abroad	2007M07	""
01 Araba/Álava	Guests	Residents abroad	2007M06	""
01 Araba/Álava	Guests	Residents abroad	2007M05	""
01 Araba/Álava	Guests	Residents abroad	2007M04	""
01 Araba/Álava	Guests	Residents abroad	2007M03	""
01 Araba/Álava	Guests	Residents abroad	2007M02	""
01 Araba/Álava	Guests	Residents abroad	2007M01	""
01 Araba/Álava	Guests	Residents abroad	2006M12	""
01 Araba/Álava	Guests	Residents abroad	2006M11	""
01 Araba/Álava	Guests	Residents abroad	2006M10	""
01 Araba/Álava	Guests	Residents abroad	2006M09	""
01 Araba/Álava	Guests	Residents abroad	2006M08	""
01 Araba/Álava	Guests	Residents abroad	2006M07	""
01 Araba/Álava	Guests	Residents abroad	2006M06	""
01 Araba/Álava	Guests	Residents abroad	2006M05	""
01 Araba/Álava	Guests	Residents abroad	2006M04	""
01 Araba/Álava	Guests	Residents abroad	2006M03	""
01 Araba/Álava	Guests	Residents abroad	2006M02	""
01 Araba/Álava	Guests	Residents abroad	2006M01	""
01 Araba/Álava	Guests	Residents abroad	2005M12	""
01 Araba/Álava	Guests	Residents abroad	2005M11	""
01 Araba/Álava	Guests	Residents abroad	2005M10	""
01 Araba/Álava	Guests	Residents abroad	2005M09	""
01 Araba/Álava	Guests	Residents abroad	2005M08	""
01 Araba/Álava	Guests	Residents abroad	2005M07	""
01 Araba/Álava	Guests	Residents abroad	2005M06	""
01 Araba/Álava	Guests	Residents abroad	2005M05	""
01 Araba/Álava	Guests	Residents abroad	2005M04	""
01 Araba/Álava	Guests	Residents abroad	2005M03	""
01 Araba/Álava	Guests	Residents abroad	2005M02	""
01 Araba/Álava	Guests	Residents abroad	2005M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2025M08	7.896
01 Araba/Álava	Overnight stays	Residents in Spain	2025M07	6.785
01 Araba/Álava	Overnight stays	Residents in Spain	2025M06	5.668
01 Araba/Álava	Overnight stays	Residents in Spain	2025M05	5.641
01 Araba/Álava	Overnight stays	Residents in Spain	2025M04	4.522
01 Araba/Álava	Overnight stays	Residents in Spain	2025M03	3.978
01 Araba/Álava	Overnight stays	Residents in Spain	2025M02	2.870
01 Araba/Álava	Overnight stays	Residents in Spain	2025M01	3.285
01 Araba/Álava	Overnight stays	Residents in Spain	2024M12	5.654
01 Araba/Álava	Overnight stays	Residents in Spain	2024M11	5.533
01 Araba/Álava	Overnight stays	Residents in Spain	2024M10	6.172
01 Araba/Álava	Overnight stays	Residents in Spain	2024M09	6.120
01 Araba/Álava	Overnight stays	Residents in Spain	2024M08	8.732
01 Araba/Álava	Overnight stays	Residents in Spain	2024M07	7.912
01 Araba/Álava	Overnight stays	Residents in Spain	2024M06	6.226
01 Araba/Álava	Overnight stays	Residents in Spain	2024M05	6.187
01 Araba/Álava	Overnight stays	Residents in Spain	2024M04	5.377
01 Araba/Álava	Overnight stays	Residents in Spain	2024M03	6.311
01 Araba/Álava	Overnight stays	Residents in Spain	2024M02	4.771
01 Araba/Álava	Overnight stays	Residents in Spain	2024M01	5.118
01 Araba/Álava	Overnight stays	Residents in Spain	2023M12	5.964
01 Araba/Álava	Overnight stays	Residents in Spain	2023M11	5.144
01 Araba/Álava	Overnight stays	Residents in Spain	2023M10	6.410
01 Araba/Álava	Overnight stays	Residents in Spain	2023M09	6.137
01 Araba/Álava	Overnight stays	Residents in Spain	2023M08	8.502
01 Araba/Álava	Overnight stays	Residents in Spain	2023M07	6.928
01 Araba/Álava	Overnight stays	Residents in Spain	2023M06	4.610
01 Araba/Álava	Overnight stays	Residents in Spain	2023M05	5.331
01 Araba/Álava	Overnight stays	Residents in Spain	2023M04	6.042
01 Araba/Álava	Overnight stays	Residents in Spain	2023M03	5.043
01 Araba/Álava	Overnight stays	Residents in Spain	2023M02	4.393
01 Araba/Álava	Overnight stays	Residents in Spain	2023M01	4.847
01 Araba/Álava	Overnight stays	Residents in Spain	2022M12	5.359
01 Araba/Álava	Overnight stays	Residents in Spain	2022M11	4.114
01 Araba/Álava	Overnight stays	Residents in Spain	2022M10	5.716
01 Araba/Álava	Overnight stays	Residents in Spain	2022M09	5.469
01 Araba/Álava	Overnight stays	Residents in Spain	2022M08	8.305
01 Araba/Álava	Overnight stays	Residents in Spain	2022M07	7.137
01 Araba/Álava	Overnight stays	Residents in Spain	2022M06	5.491
01 Araba/Álava	Overnight stays	Residents in Spain	2022M05	5.120
01 Araba/Álava	Overnight stays	Residents in Spain	2022M04	5.143
01 Araba/Álava	Overnight stays	Residents in Spain	2022M03	4.383
01 Araba/Álava	Overnight stays	Residents in Spain	2022M02	4.285
01 Araba/Álava	Overnight stays	Residents in Spain	2022M01	4.450
01 Araba/Álava	Overnight stays	Residents in Spain	2021M12	5.263
01 Araba/Álava	Overnight stays	Residents in Spain	2021M11	4.448
01 Araba/Álava	Overnight stays	Residents in Spain	2021M10	6.022
01 Araba/Álava	Overnight stays	Residents in Spain	2021M09	5.413
01 Araba/Álava	Overnight stays	Residents in Spain	2021M08	8.793
01 Araba/Álava	Overnight stays	Residents in Spain	2021M07	6.821
01 Araba/Álava	Overnight stays	Residents in Spain	2021M06	5.291
01 Araba/Álava	Overnight stays	Residents in Spain	2021M05	5.094
01 Araba/Álava	Overnight stays	Residents in Spain	2021M04	5.683
01 Araba/Álava	Overnight stays	Residents in Spain	2021M03	5.246
01 Araba/Álava	Overnight stays	Residents in Spain	2021M02	3.590
01 Araba/Álava	Overnight stays	Residents in Spain	2021M01	4.307
01 Araba/Álava	Overnight stays	Residents in Spain	2020M12	5.365
01 Araba/Álava	Overnight stays	Residents in Spain	2020M11	5.107
01 Araba/Álava	Overnight stays	Residents in Spain	2020M10	6.715
01 Araba/Álava	Overnight stays	Residents in Spain	2020M09	5.410
01 Araba/Álava	Overnight stays	Residents in Spain	2020M08	7.488
01 Araba/Álava	Overnight stays	Residents in Spain	2020M07	4.755
01 Araba/Álava	Overnight stays	Residents in Spain	2020M06	4.066
01 Araba/Álava	Overnight stays	Residents in Spain	2020M05	.
01 Araba/Álava	Overnight stays	Residents in Spain	2020M04	0
01 Araba/Álava	Overnight stays	Residents in Spain	2020M03	955
01 Araba/Álava	Overnight stays	Residents in Spain	2020M02	3.963
01 Araba/Álava	Overnight stays	Residents in Spain	2020M01	4.199
01 Araba/Álava	Overnight stays	Residents in Spain	2019M12	4.925
01 Araba/Álava	Overnight stays	Residents in Spain	2019M11	4.921
01 Araba/Álava	Overnight stays	Residents in Spain	2019M10	5.492
01 Araba/Álava	Overnight stays	Residents in Spain	2019M09	5.283
01 Araba/Álava	Overnight stays	Residents in Spain	2019M08	7.174
01 Araba/Álava	Overnight stays	Residents in Spain	2019M07	6.147
01 Araba/Álava	Overnight stays	Residents in Spain	2019M06	5.307
01 Araba/Álava	Overnight stays	Residents in Spain	2019M05	4.859
01 Araba/Álava	Overnight stays	Residents in Spain	2019M04	5.037
01 Araba/Álava	Overnight stays	Residents in Spain	2019M03	4.563
01 Araba/Álava	Overnight stays	Residents in Spain	2019M02	3.714
01 Araba/Álava	Overnight stays	Residents in Spain	2019M01	4.331
01 Araba/Álava	Overnight stays	Residents in Spain	2018M12	5.697
01 Araba/Álava	Overnight stays	Residents in Spain	2018M11	5.200
01 Araba/Álava	Overnight stays	Residents in Spain	2018M10	5.780
01 Araba/Álava	Overnight stays	Residents in Spain	2018M09	5.808
01 Araba/Álava	Overnight stays	Residents in Spain	2018M08	8.653
01 Araba/Álava	Overnight stays	Residents in Spain	2018M07	8.180
01 Araba/Álava	Overnight stays	Residents in Spain	2018M06	6.915
01 Araba/Álava	Overnight stays	Residents in Spain	2018M05	5.990
01 Araba/Álava	Overnight stays	Residents in Spain	2018M04	6.130
01 Araba/Álava	Overnight stays	Residents in Spain	2018M03	6.565
01 Araba/Álava	Overnight stays	Residents in Spain	2018M02	3.915
01 Araba/Álava	Overnight stays	Residents in Spain	2018M01	3.523
01 Araba/Álava	Overnight stays	Residents in Spain	2017M12	4.768
01 Araba/Álava	Overnight stays	Residents in Spain	2017M11	3.880
01 Araba/Álava	Overnight stays	Residents in Spain	2017M10	5.151
01 Araba/Álava	Overnight stays	Residents in Spain	2017M09	5.060
01 Araba/Álava	Overnight stays	Residents in Spain	2017M08	7.278
01 Araba/Álava	Overnight stays	Residents in Spain	2017M07	5.812
01 Araba/Álava	Overnight stays	Residents in Spain	2017M06	5.040
01 Araba/Álava	Overnight stays	Residents in Spain	2017M05	4.632
01 Araba/Álava	Overnight stays	Residents in Spain	2017M04	5.166
01 Araba/Álava	Overnight stays	Residents in Spain	2017M03	4.257
01 Araba/Álava	Overnight stays	Residents in Spain	2017M02	3.890
01 Araba/Álava	Overnight stays	Residents in Spain	2017M01	3.399
01 Araba/Álava	Overnight stays	Residents in Spain	2016M12	4.142
01 Araba/Álava	Overnight stays	Residents in Spain	2016M11	4.311
01 Araba/Álava	Overnight stays	Residents in Spain	2016M10	5.538
01 Araba/Álava	Overnight stays	Residents in Spain	2016M09	5.290
01 Araba/Álava	Overnight stays	Residents in Spain	2016M08	6.494
01 Araba/Álava	Overnight stays	Residents in Spain	2016M07	6.085
01 Araba/Álava	Overnight stays	Residents in Spain	2016M06	3.925
01 Araba/Álava	Overnight stays	Residents in Spain	2016M05	4.322
01 Araba/Álava	Overnight stays	Residents in Spain	2016M04	3.817
01 Araba/Álava	Overnight stays	Residents in Spain	2016M03	4.401
01 Araba/Álava	Overnight stays	Residents in Spain	2016M02	3.745
01 Araba/Álava	Overnight stays	Residents in Spain	2016M01	4.002
01 Araba/Álava	Overnight stays	Residents in Spain	2015M12	5.960
01 Araba/Álava	Overnight stays	Residents in Spain	2015M11	5.336
01 Araba/Álava	Overnight stays	Residents in Spain	2015M10	5.378
01 Araba/Álava	Overnight stays	Residents in Spain	2015M09	5.076
01 Araba/Álava	Overnight stays	Residents in Spain	2015M08	7.702
01 Araba/Álava	Overnight stays	Residents in Spain	2015M07	6.310
01 Araba/Álava	Overnight stays	Residents in Spain	2015M06	4.332
01 Araba/Álava	Overnight stays	Residents in Spain	2015M05	3.800
01 Araba/Álava	Overnight stays	Residents in Spain	2015M04	4.546
01 Araba/Álava	Overnight stays	Residents in Spain	2015M03	3.586
01 Araba/Álava	Overnight stays	Residents in Spain	2015M02	2.451
01 Araba/Álava	Overnight stays	Residents in Spain	2015M01	2.360
01 Araba/Álava	Overnight stays	Residents in Spain	2014M12	3.391
01 Araba/Álava	Overnight stays	Residents in Spain	2014M11	3.833
01 Araba/Álava	Overnight stays	Residents in Spain	2014M10	4.179
01 Araba/Álava	Overnight stays	Residents in Spain	2014M09	4.067
01 Araba/Álava	Overnight stays	Residents in Spain	2014M08	7.028
01 Araba/Álava	Overnight stays	Residents in Spain	2014M07	5.297
01 Araba/Álava	Overnight stays	Residents in Spain	2014M06	3.912
01 Araba/Álava	Overnight stays	Residents in Spain	2014M05	4.440
01 Araba/Álava	Overnight stays	Residents in Spain	2014M04	3.838
01 Araba/Álava	Overnight stays	Residents in Spain	2014M03	3.074
01 Araba/Álava	Overnight stays	Residents in Spain	2014M02	2.650
01 Araba/Álava	Overnight stays	Residents in Spain	2014M01	2.760
01 Araba/Álava	Overnight stays	Residents in Spain	2013M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2013M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2012M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2011M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2010M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2009M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2008M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2007M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2006M01	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M12	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M11	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M10	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M09	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M08	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M07	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M06	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M05	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M04	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M03	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M02	""
01 Araba/Álava	Overnight stays	Residents in Spain	2005M01	""
01 Araba/Álava	Overnight stays	Residents abroad	2025M08	2.201
01 Araba/Álava	Overnight stays	Residents abroad	2025M07	1.820
01 Araba/Álava	Overnight stays	Residents abroad	2025M06	1.414
01 Araba/Álava	Overnight stays	Residents abroad	2025M05	1.414
01 Araba/Álava	Overnight stays	Residents abroad	2025M04	1.635
01 Araba/Álava	Overnight stays	Residents abroad	2025M03	1.938
01 Araba/Álava	Overnight stays	Residents abroad	2025M02	1.683
01 Araba/Álava	Overnight stays	Residents abroad	2025M01	1.609
01 Araba/Álava	Overnight stays	Residents abroad	2024M12	2.617
01 Araba/Álava	Overnight stays	Residents abroad	2024M11	2.493
01 Araba/Álava	Overnight stays	Residents abroad	2024M10	2.606
01 Araba/Álava	Overnight stays	Residents abroad	2024M09	2.735
01 Araba/Álava	Overnight stays	Residents abroad	2024M08	2.530
01 Araba/Álava	Overnight stays	Residents abroad	2024M07	2.764
01 Araba/Álava	Overnight stays	Residents abroad	2024M06	2.910
01 Araba/Álava	Overnight stays	Residents abroad	2024M05	2.828
01 Araba/Álava	Overnight stays	Residents abroad	2024M04	2.223
01 Araba/Álava	Overnight stays	Residents abroad	2024M03	2.365
01 Araba/Álava	Overnight stays	Residents abroad	2024M02	1.875
01 Araba/Álava	Overnight stays	Residents abroad	2024M01	1.757
01 Araba/Álava	Overnight stays	Residents abroad	2023M12	1.782
01 Araba/Álava	Overnight stays	Residents abroad	2023M11	1.959
