Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2025M09	1.091.959
National Total		Guests	Total		2025M08	2.247.919
National Total		Guests	Total		2025M07	1.827.583
National Total		Guests	Total		2025M06	1.436.275
National Total		Guests	Total		2025M05	1.017.480
National Total		Guests	Total		2025M04	919.472
National Total		Guests	Total		2025M03	346.845
National Total		Guests	Total		2025M02	246.112
National Total		Guests	Total		2025M01	199.661
National Total		Guests	Total		2024M12	243.913
National Total		Guests	Total		2024M11	256.691
National Total		Guests	Total		2024M10	581.522
National Total		Guests	Total		2024M09	1.068.270
National Total		Guests	Total		2024M08	2.186.665
National Total		Guests	Total		2024M07	1.849.994
National Total		Guests	Total		2024M06	1.272.482
National Total		Guests	Total		2024M05	990.751
National Total		Guests	Total		2024M04	681.829
National Total		Guests	Total		2024M03	633.850
National Total		Guests	Total		2024M02	240.985
National Total		Guests	Total		2024M01	191.660
National Total		Guests	Total		2023M12	241.424
National Total		Guests	Total		2023M11	247.494
National Total		Guests	Total		2023M10	606.747
National Total		Guests	Total		2023M09	1.056.921
National Total		Guests	Total		2023M08	2.193.173
National Total		Guests	Total		2023M07	1.876.968
National Total		Guests	Total		2023M06	1.244.721
National Total		Guests	Total		2023M05	784.273
National Total		Guests	Total		2023M04	996.635
National Total		Guests	Total		2023M03	360.972
National Total		Guests	Total		2023M02	220.493
National Total		Guests	Total		2023M01	186.516
National Total		Guests	Total		2022M12	214.331
National Total		Guests	Total		2022M11	221.087
National Total		Guests	Total		2022M10	566.305
National Total		Guests	Total		2022M09	978.753
National Total		Guests	Total		2022M08	2.108.741
National Total		Guests	Total		2022M07	1.849.693
National Total		Guests	Total		2022M06	1.240.074
National Total		Guests	Total		2022M05	784.790
National Total		Guests	Total		2022M04	804.711
National Total		Guests	Total		2022M03	267.576
National Total		Guests	Total		2022M02	226.749
National Total		Guests	Total		2022M01	177.207
National Total		Guests	Total		2021M12	204.280
National Total		Guests	Total		2021M11	204.424
National Total		Guests	Total		2021M10	565.908
National Total		Guests	Total		2021M09	896.162
National Total		Guests	Total		2021M08	2.049.427
National Total		Guests	Total		2021M07	1.624.160
National Total		Guests	Total		2021M06	944.102
National Total		Guests	Total		2021M05	516.252
National Total		Guests	Total		2021M04	321.779
National Total		Guests	Total		2021M03	198.288
National Total		Guests	Total		2021M02	51.940
National Total		Guests	Total		2021M01	45.048
National Total		Guests	Total		2020M12	80.706
National Total		Guests	Total		2020M11	49.739
National Total		Guests	Total		2020M10	277.333
National Total		Guests	Total		2020M09	603.385
National Total		Guests	Total		2020M08	1.484.702
National Total		Guests	Total		2020M07	1.165.205
National Total		Guests	Total		2020M06	363.880
National Total		Guests	Total		2020M05	19.014
National Total		Guests	Total		2020M04	0
National Total		Guests	Total		2020M03	83.330
National Total		Guests	Total		2020M02	216.787
National Total		Guests	Total		2020M01	145.392
