Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2019M12	186.917
National Total		Guests	Total		2019M11	206.152
National Total		Guests	Total		2019M10	429.661
National Total		Guests	Total		2019M09	815.409
National Total		Guests	Total		2019M08	2.079.339
National Total		Guests	Total		2019M07	1.553.253
National Total		Guests	Total		2019M06	1.116.439
National Total		Guests	Total		2019M05	671.835
National Total		Guests	Total		2019M04	642.851
National Total		Guests	Total		2019M03	308.674
National Total		Guests	Total		2019M02	168.693
National Total		Guests	Total		2019M01	125.019
National Total		Guests	Total		2018M12	172.317
National Total		Guests	Total		2018M11	183.527
National Total		Guests	Total		2018M10	409.548
National Total		Guests	Total		2018M09	833.615
National Total		Guests	Total		2018M08	1.965.971
National Total		Guests	Total		2018M07	1.548.892
National Total		Guests	Total		2018M06	959.068
National Total		Guests	Total		2018M05	595.744
National Total		Guests	Total		2018M04	506.722
National Total		Guests	Total		2018M03	417.647
National Total		Guests	Total		2018M02	150.770
National Total		Guests	Total		2018M01	123.538
National Total		Guests	Total		2017M12	162.619
National Total		Guests	Total		2017M11	158.334
National Total		Guests	Total		2017M10	384.601
National Total		Guests	Total		2017M09	811.165
National Total		Guests	Total		2017M08	1.932.149
National Total		Guests	Total		2017M07	1.608.655
National Total		Guests	Total		2017M06	978.369
National Total		Guests	Total		2017M05	573.458
National Total		Guests	Total		2017M04	729.910
National Total		Guests	Total		2017M03	251.201
National Total		Guests	Total		2017M02	152.206
National Total		Guests	Total		2017M01	126.522
National Total		Guests	Total		2016M12	150.829
National Total		Guests	Total		2016M11	146.465
National Total		Guests	Total		2016M10	350.383
National Total		Guests	Total		2016M09	733.232
National Total		Guests	Total		2016M08	1.928.588
National Total		Guests	Total		2016M07	1.570.298
National Total		Guests	Total		2016M06	842.461
National Total		Guests	Total		2016M05	544.134
National Total		Guests	Total		2016M04	412.940
National Total		Guests	Total		2016M03	440.747
National Total		Guests	Total		2016M02	148.540
National Total		Guests	Total		2016M01	131.205
National Total		Guests	Total		2015M12	142.860
National Total		Guests	Total		2015M11	144.231
National Total		Guests	Total		2015M10	330.429
National Total		Guests	Total		2015M09	624.927
National Total		Guests	Total		2015M08	1.761.039
National Total		Guests	Total		2015M07	1.393.435
National Total		Guests	Total		2015M06	771.210
National Total		Guests	Total		2015M05	572.831
National Total		Guests	Total		2015M04	520.566
National Total		Guests	Total		2015M03	229.662
National Total		Guests	Total		2015M02	122.045
National Total		Guests	Total		2015M01	108.857
National Total		Guests	Total		2014M12	133.657
National Total		Guests	Total		2014M11	134.657
National Total		Guests	Total		2014M10	280.913
National Total		Guests	Total		2014M09	596.184
National Total		Guests	Total		2014M08	1.751.010
National Total		Guests	Total		2014M07	1.280.236
National Total		Guests	Total		2014M06	736.412
National Total		Guests	Total		2014M05	502.257
National Total		Guests	Total		2014M04	506.324
National Total		Guests	Total		2014M03	197.143
National Total		Guests	Total		2014M02	118.020
National Total		Guests	Total		2014M01	95.617
National Total		Guests	Total		2013M12	114.503
National Total		Guests	Total		2013M11	138.543
National Total		Guests	Total		2013M10	252.842
National Total		Guests	Total		2013M09	544.101
National Total		Guests	Total		2013M08	1.684.224
National Total		Guests	Total		2013M07	1.297.028
National Total		Guests	Total		2013M06	727.879
National Total		Guests	Total		2013M05	459.009
National Total		Guests	Total		2013M04	325.761
National Total		Guests	Total		2013M03	325.194
National Total		Guests	Total		2013M02	103.405
National Total		Guests	Total		2013M01	85.028
National Total		Guests	Total		2012M12	101.500
National Total		Guests	Total		2012M11	114.562
National Total		Guests	Total		2012M10	223.562
National Total		Guests	Total		2012M09	555.144
National Total		Guests	Total		2012M08	1.655.465
National Total		Guests	Total		2012M07	1.318.630
National Total		Guests	Total		2012M06	705.262
National Total		Guests	Total		2012M05	415.902
National Total		Guests	Total		2012M04	439.009
National Total		Guests	Total		2012M03	193.058
National Total		Guests	Total		2012M02	102.064
National Total		Guests	Total		2012M01	89.644
National Total		Guests	Total		2011M12	106.091
National Total		Guests	Total		2011M11	113.638
National Total		Guests	Total		2011M10	247.246
National Total		Guests	Total		2011M09	566.683
National Total		Guests	Total		2011M08	1.723.808
National Total		Guests	Total		2011M07	1.421.490
National Total		Guests	Total		2011M06	696.694
National Total		Guests	Total		2011M05	412.952
National Total		Guests	Total		2011M04	484.355
National Total		Guests	Total		2011M03	175.935
National Total		Guests	Total		2011M02	111.076
National Total		Guests	Total		2011M01	89.311
National Total		Guests	Total		2010M12	105.562
National Total		Guests	Total		2010M11	101.891
National Total		Guests	Total		2010M10	256.015
National Total		Guests	Total		2010M09	514.243
National Total		Guests	Total		2010M08	1.761.470
National Total		Guests	Total		2010M07	1.407.573
National Total		Guests	Total		2010M06	655.687
National Total		Guests	Total		2010M05	462.850
National Total		Guests	Total		2010M04	439.940
National Total		Guests	Total		2010M03	215.418
National Total		Guests	Total		2010M02	103.496
National Total		Guests	Total		2010M01	90.918
National Total		Guests	Total		2009M12	109.308
National Total		Guests	Total		2009M11	114.480
National Total		Guests	Total		2009M10	262.725
National Total		Guests	Total		2009M09	510.723
National Total		Guests	Total		2009M08	1.754.069
National Total		Guests	Total		2009M07	1.413.583
National Total		Guests	Total		2009M06	659.521
National Total		Guests	Total		2009M05	474.931
National Total		Guests	Total		2009M04	473.928
National Total		Guests	Total		2009M03	197.558
National Total		Guests	Total		2009M02	114.637
National Total		Guests	Total		2009M01	94.151
National Total		Guests	Total		2008M12	114.244
National Total		Guests	Total		2008M11	123.931
National Total		Guests	Total		2008M10	214.447
National Total		Guests	Total		2008M09	526.153
National Total		Guests	Total		2008M08	1.836.059
National Total		Guests	Total		2008M07	1.412.116
National Total		Guests	Total		2008M06	677.078
National Total		Guests	Total		2008M05	455.136
National Total		Guests	Total		2008M04	326.294
National Total		Guests	Total		2008M03	346.002
National Total		Guests	Total		2008M02	130.851
National Total		Guests	Total		2008M01	98.588
National Total		Guests	Total		2007M12	123.286
National Total		Guests	Total		2007M11	149.208
National Total		Guests	Total		2007M10	239.627
National Total		Guests	Total		2007M09	559.357
National Total		Guests	Total		2007M08	1.824.566
National Total		Guests	Total		2007M07	1.439.517
National Total		Guests	Total		2007M06	728.090
National Total		Guests	Total		2007M05	433.816
National Total		Guests	Total		2007M04	523.728
National Total		Guests	Total		2007M03	222.568
National Total		Guests	Total		2007M02	120.995
National Total		Guests	Total		2007M01	92.348
National Total		Guests	Total		2006M12	144.111
National Total		Guests	Total		2006M11	126.550
National Total		Guests	Total		2006M10	235.619
National Total		Guests	Total		2006M09	570.086
National Total		Guests	Total		2006M08	1.831.383
National Total		Guests	Total		2006M07	1.580.017
National Total		Guests	Total		2006M06	714.251
National Total		Guests	Total		2006M05	446.392
National Total		Guests	Total		2006M04	582.001
National Total		Guests	Total		2006M03	180.367
National Total		Guests	Total		2006M02	116.201
National Total		Guests	Total		2006M01	92.770
National Total		Guests	Total		2005M12	112.671
National Total		Guests	Total		2005M11	119.245
National Total		Guests	Total		2005M10	235.984
National Total		Guests	Total		2005M09	561.031
National Total		Guests	Total		2005M08	1.949.574
National Total		Guests	Total		2005M07	1.588.857
National Total		Guests	Total		2005M06	677.969
National Total		Guests	Total		2005M05	465.980
National Total		Guests	Total		2005M04	350.027
National Total		Guests	Total		2005M03	287.099
National Total		Guests	Total		2005M02	107.435
National Total		Guests	Total		2005M01	100.277
National Total		Guests	Total		2004M12	114.025
National Total		Guests	Total		2004M11	119.937
National Total		Guests	Total		2004M10	241.568
National Total		Guests	Total		2004M09	576.064
National Total		Guests	Total		2004M08	2.024.089
National Total		Guests	Total		2004M07	1.528.945
National Total		Guests	Total		2004M06	706.362
National Total		Guests	Total		2004M05	435.567
National Total		Guests	Total		2004M04	511.388
National Total		Guests	Total		2004M03	173.369
National Total		Guests	Total		2004M02	124.347
National Total		Guests	Total		2004M01	118.265
National Total		Guests	Total		2003M12	116.809
National Total		Guests	Total		2003M11	128.250
National Total		Guests	Total		2003M10	195.499
National Total		Guests	Total		2003M09	581.820
National Total		Guests	Total		2003M08	2.225.168
National Total		Guests	Total		2003M07	1.598.616
National Total		Guests	Total		2003M06	767.861
National Total		Guests	Total		2003M05	519.644
National Total		Guests	Total		2003M04	525.820
National Total		Guests	Total		2003M03	162.825
National Total		Guests	Total		2003M02	113.932
National Total		Guests	Total		2003M01	96.345
National Total		Guests	Total		2002M12	102.531
National Total		Guests	Total		2002M11	115.162
National Total		Guests	Total		2002M10	192.541
National Total		Guests	Total		2002M09	489.158
National Total		Guests	Total		2002M08	1.768.721
National Total		Guests	Total		2002M07	1.493.613
National Total		Guests	Total		2002M06	671.931
National Total		Guests	Total		2002M05	401.230
National Total		Guests	Total		2002M04	290.874
National Total		Guests	Total		2002M03	320.388
National Total		Guests	Total		2002M02	98.369
National Total		Guests	Total		2002M01	75.561
National Total		Guests	Total		2001M12	89.004
National Total		Guests	Total		2001M11	97.029
National Total		Guests	Total		2001M10	186.968
National Total		Guests	Total		2001M09	471.494
National Total		Guests	Total		2001M08	1.868.831
National Total		Guests	Total		2001M07	1.490.929
National Total		Guests	Total		2001M06	618.809
National Total		Guests	Total		2001M05	350.987
National Total		Guests	Total		2001M04	562.854
National Total		Guests	Total		2001M03	153.151
National Total		Guests	Total		2001M02	94.216
National Total		Guests	Total		2001M01	74.077
National Total		Guests	Total		2000M12	102.888
National Total		Guests	Total		2000M11	83.259
National Total		Guests	Total		2000M10	177.714
National Total		Guests	Total		2000M09	489.308
National Total		Guests	Total		2000M08	1.759.827
National Total		Guests	Total		2000M07	1.423.214
National Total		Guests	Total		2000M06	503.610
National Total		Guests	Total		2000M05	301.644
National Total		Guests	Total		2000M04	443.344
National Total		Guests	Total		2000M03	141.023
National Total		Guests	Total		2000M02	91.355
National Total		Guests	Total		2000M01	62.931
National Total		Guests	Total		1999M12	72.168
National Total		Guests	Total		1999M11	75.075
National Total		Guests	Total		1999M10	176.229
National Total		Guests	Total		1999M09	423.253
National Total		Guests	Total		1999M08	1.682.196
National Total		Guests	Total		1999M07	1.301.150
National Total		Guests	Total		1999M06	516.861
National Total		Guests	Total		1999M05	320.569
National Total		Guests	Total		1999M04	341.399
National Total		Guests	Total		1999M03	158.363
National Total		Guests	Total		1999M02	73.069
National Total		Guests	Total		1999M01	58.505
National Total		Guests	Total	Residents in Spain	2025M09	644.637
National Total		Guests	Total	Residents in Spain	2025M08	1.562.863
National Total		Guests	Total	Residents in Spain	2025M07	1.152.970
National Total		Guests	Total	Residents in Spain	2025M06	1.010.764
National Total		Guests	Total	Residents in Spain	2025M05	594.194
National Total		Guests	Total	Residents in Spain	2025M04	595.096
National Total		Guests	Total	Residents in Spain	2025M03	187.053
National Total		Guests	Total	Residents in Spain	2025M02	132.579
National Total		Guests	Total	Residents in Spain	2025M01	87.279
National Total		Guests	Total	Residents in Spain	2024M12	151.132
National Total		Guests	Total	Residents in Spain	2024M11	146.833
National Total		Guests	Total	Residents in Spain	2024M10	283.384
National Total		Guests	Total	Residents in Spain	2024M09	588.258
National Total		Guests	Total	Residents in Spain	2024M08	1.492.550
National Total		Guests	Total	Residents in Spain	2024M07	1.195.849
National Total		Guests	Total	Residents in Spain	2024M06	896.320
National Total		Guests	Total	Residents in Spain	2024M05	544.572
National Total		Guests	Total	Residents in Spain	2024M04	358.923
National Total		Guests	Total	Residents in Spain	2024M03	427.689
National Total		Guests	Total	Residents in Spain	2024M02	126.568
National Total		Guests	Total	Residents in Spain	2024M01	84.826
National Total		Guests	Total	Residents in Spain	2023M12	152.782
National Total		Guests	Total	Residents in Spain	2023M11	140.260
National Total		Guests	Total	Residents in Spain	2023M10	363.346
National Total		Guests	Total	Residents in Spain	2023M09	628.127
National Total		Guests	Total	Residents in Spain	2023M08	1.533.219
National Total		Guests	Total	Residents in Spain	2023M07	1.247.663
National Total		Guests	Total	Residents in Spain	2023M06	900.490
National Total		Guests	Total	Residents in Spain	2023M05	418.016
National Total		Guests	Total	Residents in Spain	2023M04	699.263
National Total		Guests	Total	Residents in Spain	2023M03	215.580
National Total		Guests	Total	Residents in Spain	2023M02	121.606
National Total		Guests	Total	Residents in Spain	2023M01	87.790
National Total		Guests	Total	Residents in Spain	2022M12	142.136
National Total		Guests	Total	Residents in Spain	2022M11	130.736
National Total		Guests	Total	Residents in Spain	2022M10	353.327
National Total		Guests	Total	Residents in Spain	2022M09	618.522
National Total		Guests	Total	Residents in Spain	2022M08	1.479.655
National Total		Guests	Total	Residents in Spain	2022M07	1.251.897
National Total		Guests	Total	Residents in Spain	2022M06	911.457
National Total		Guests	Total	Residents in Spain	2022M05	504.763
National Total		Guests	Total	Residents in Spain	2022M04	585.748
National Total		Guests	Total	Residents in Spain	2022M03	151.912
National Total		Guests	Total	Residents in Spain	2022M02	141.025
National Total		Guests	Total	Residents in Spain	2022M01	99.283
National Total		Guests	Total	Residents in Spain	2021M12	140.488
National Total		Guests	Total	Residents in Spain	2021M11	125.550
National Total		Guests	Total	Residents in Spain	2021M10	391.457
National Total		Guests	Total	Residents in Spain	2021M09	650.829
National Total		Guests	Total	Residents in Spain	2021M08	1.686.168
National Total		Guests	Total	Residents in Spain	2021M07	1.340.895
National Total		Guests	Total	Residents in Spain	2021M06	849.362
National Total		Guests	Total	Residents in Spain	2021M05	465.499
National Total		Guests	Total	Residents in Spain	2021M04	294.786
National Total		Guests	Total	Residents in Spain	2021M03	180.953
National Total		Guests	Total	Residents in Spain	2021M02	43.051
National Total		Guests	Total	Residents in Spain	2021M01	31.838
National Total		Guests	Total	Residents in Spain	2020M12	69.201
National Total		Guests	Total	Residents in Spain	2020M11	.
National Total		Guests	Total	Residents in Spain	2020M10	242.288
National Total		Guests	Total	Residents in Spain	2020M09	549.738
National Total		Guests	Total	Residents in Spain	2020M08	1.351.549
National Total		Guests	Total	Residents in Spain	2020M07	998.134
National Total		Guests	Total	Residents in Spain	2020M06	347.488
National Total		Guests	Total	Residents in Spain	2020M05	.
National Total		Guests	Total	Residents in Spain	2020M04	0
National Total		Guests	Total	Residents in Spain	2020M03	42.819
National Total		Guests	Total	Residents in Spain	2020M02	137.942
National Total		Guests	Total	Residents in Spain	2020M01	77.307
National Total		Guests	Total	Residents in Spain	2019M12	130.922
National Total		Guests	Total	Residents in Spain	2019M11	136.078
National Total		Guests	Total	Residents in Spain	2019M10	260.311
National Total		Guests	Total	Residents in Spain	2019M09	496.646
National Total		Guests	Total	Residents in Spain	2019M08	1.451.555
National Total		Guests	Total	Residents in Spain	2019M07	1.026.395
National Total		Guests	Total	Residents in Spain	2019M06	795.042
National Total		Guests	Total	Residents in Spain	2019M05	393.803
National Total		Guests	Total	Residents in Spain	2019M04	454.820
National Total		Guests	Total	Residents in Spain	2019M03	202.342
National Total		Guests	Total	Residents in Spain	2019M02	106.396
National Total		Guests	Total	Residents in Spain	2019M01	65.871
National Total		Guests	Total	Residents in Spain	2018M12	121.602
National Total		Guests	Total	Residents in Spain	2018M11	127.005
National Total		Guests	Total	Residents in Spain	2018M10	251.180
National Total		Guests	Total	Residents in Spain	2018M09	537.141
National Total		Guests	Total	Residents in Spain	2018M08	1.355.065
National Total		Guests	Total	Residents in Spain	2018M07	994.071
National Total		Guests	Total	Residents in Spain	2018M06	661.579
National Total		Guests	Total	Residents in Spain	2018M05	336.580
National Total		Guests	Total	Residents in Spain	2018M04	329.027
National Total		Guests	Total	Residents in Spain	2018M03	309.192
National Total		Guests	Total	Residents in Spain	2018M02	88.907
National Total		Guests	Total	Residents in Spain	2018M01	68.000
National Total		Guests	Total	Residents in Spain	2017M12	118.158
National Total		Guests	Total	Residents in Spain	2017M11	103.360
National Total		Guests	Total	Residents in Spain	2017M10	245.632
National Total		Guests	Total	Residents in Spain	2017M09	496.892
National Total		Guests	Total	Residents in Spain	2017M08	1.312.489
National Total		Guests	Total	Residents in Spain	2017M07	1.033.155
National Total		Guests	Total	Residents in Spain	2017M06	692.842
National Total		Guests	Total	Residents in Spain	2017M05	341.874
National Total		Guests	Total	Residents in Spain	2017M04	541.831
National Total		Guests	Total	Residents in Spain	2017M03	163.295
National Total		Guests	Total	Residents in Spain	2017M02	96.089
National Total		Guests	Total	Residents in Spain	2017M01	69.534
National Total		Guests	Total	Residents in Spain	2016M12	106.554
National Total		Guests	Total	Residents in Spain	2016M11	94.155
National Total		Guests	Total	Residents in Spain	2016M10	221.538
National Total		Guests	Total	Residents in Spain	2016M09	464.656
National Total		Guests	Total	Residents in Spain	2016M08	1.297.486
National Total		Guests	Total	Residents in Spain	2016M07	1.019.323
National Total		Guests	Total	Residents in Spain	2016M06	586.804
National Total		Guests	Total	Residents in Spain	2016M05	336.286
National Total		Guests	Total	Residents in Spain	2016M04	252.121
National Total		Guests	Total	Residents in Spain	2016M03	338.177
National Total		Guests	Total	Residents in Spain	2016M02	91.492
National Total		Guests	Total	Residents in Spain	2016M01	75.940
National Total		Guests	Total	Residents in Spain	2015M12	102.860
National Total		Guests	Total	Residents in Spain	2015M11	96.570
National Total		Guests	Total	Residents in Spain	2015M10	216.596
National Total		Guests	Total	Residents in Spain	2015M09	395.576
National Total		Guests	Total	Residents in Spain	2015M08	1.186.797
National Total		Guests	Total	Residents in Spain	2015M07	888.742
National Total		Guests	Total	Residents in Spain	2015M06	555.889
National Total		Guests	Total	Residents in Spain	2015M05	358.587
National Total		Guests	Total	Residents in Spain	2015M04	381.374
National Total		Guests	Total	Residents in Spain	2015M03	156.365
National Total		Guests	Total	Residents in Spain	2015M02	74.628
National Total		Guests	Total	Residents in Spain	2015M01	62.489
National Total		Guests	Total	Residents in Spain	2014M12	96.543
National Total		Guests	Total	Residents in Spain	2014M11	91.877
National Total		Guests	Total	Residents in Spain	2014M10	180.945
National Total		Guests	Total	Residents in Spain	2014M09	389.000
National Total		Guests	Total	Residents in Spain	2014M08	1.188.904
National Total		Guests	Total	Residents in Spain	2014M07	815.557
National Total		Guests	Total	Residents in Spain	2014M06	536.374
National Total		Guests	Total	Residents in Spain	2014M05	321.629
National Total		Guests	Total	Residents in Spain	2014M04	381.411
National Total		Guests	Total	Residents in Spain	2014M03	126.510
National Total		Guests	Total	Residents in Spain	2014M02	73.955
National Total		Guests	Total	Residents in Spain	2014M01	51.698
National Total		Guests	Total	Residents in Spain	2013M12	79.093
National Total		Guests	Total	Residents in Spain	2013M11	95.188
National Total		Guests	Total	Residents in Spain	2013M10	167.221
National Total		Guests	Total	Residents in Spain	2013M09	355.282
National Total		Guests	Total	Residents in Spain	2013M08	1.157.671
National Total		Guests	Total	Residents in Spain	2013M07	828.419
National Total		Guests	Total	Residents in Spain	2013M06	521.347
National Total		Guests	Total	Residents in Spain	2013M05	289.446
National Total		Guests	Total	Residents in Spain	2013M04	216.612
National Total		Guests	Total	Residents in Spain	2013M03	247.785
National Total		Guests	Total	Residents in Spain	2013M02	66.584
National Total		Guests	Total	Residents in Spain	2013M01	49.659
National Total		Guests	Total	Residents in Spain	2012M12	76.433
National Total		Guests	Total	Residents in Spain	2012M11	79.551
National Total		Guests	Total	Residents in Spain	2012M10	152.487
National Total		Guests	Total	Residents in Spain	2012M09	359.387
National Total		Guests	Total	Residents in Spain	2012M08	1.139.581
National Total		Guests	Total	Residents in Spain	2012M07	827.407
National Total		Guests	Total	Residents in Spain	2012M06	519.954
National Total		Guests	Total	Residents in Spain	2012M05	278.162
National Total		Guests	Total	Residents in Spain	2012M04	332.096
National Total		Guests	Total	Residents in Spain	2012M03	136.667
National Total		Guests	Total	Residents in Spain	2012M02	69.250
National Total		Guests	Total	Residents in Spain	2012M01	57.018
National Total		Guests	Total	Residents in Spain	2011M12	83.158
National Total		Guests	Total	Residents in Spain	2011M11	84.670
National Total		Guests	Total	Residents in Spain	2011M10	173.568
National Total		Guests	Total	Residents in Spain	2011M09	377.342
National Total		Guests	Total	Residents in Spain	2011M08	1.149.244
National Total		Guests	Total	Residents in Spain	2011M07	908.183
National Total		Guests	Total	Residents in Spain	2011M06	507.570
National Total		Guests	Total	Residents in Spain	2011M05	284.073
National Total		Guests	Total	Residents in Spain	2011M04	376.361
National Total		Guests	Total	Residents in Spain	2011M03	125.681
National Total		Guests	Total	Residents in Spain	2011M02	80.935
National Total		Guests	Total	Residents in Spain	2011M01	59.260
National Total		Guests	Total	Residents in Spain	2010M12	85.102
National Total		Guests	Total	Residents in Spain	2010M11	74.745
National Total		Guests	Total	Residents in Spain	2010M10	184.854
National Total		Guests	Total	Residents in Spain	2010M09	339.788
National Total		Guests	Total	Residents in Spain	2010M08	1.165.474
National Total		Guests	Total	Residents in Spain	2010M07	897.041
National Total		Guests	Total	Residents in Spain	2010M06	480.070
National Total		Guests	Total	Residents in Spain	2010M05	305.170
National Total		Guests	Total	Residents in Spain	2010M04	332.885
National Total		Guests	Total	Residents in Spain	2010M03	158.224
National Total		Guests	Total	Residents in Spain	2010M02	70.093
National Total		Guests	Total	Residents in Spain	2010M01	58.144
National Total		Guests	Total	Residents in Spain	2009M12	84.948
National Total		Guests	Total	Residents in Spain	2009M11	85.164
National Total		Guests	Total	Residents in Spain	2009M10	192.590
National Total		Guests	Total	Residents in Spain	2009M09	353.426
National Total		Guests	Total	Residents in Spain	2009M08	1.171.449
National Total		Guests	Total	Residents in Spain	2009M07	892.606
National Total		Guests	Total	Residents in Spain	2009M06	483.972
National Total		Guests	Total	Residents in Spain	2009M05	319.182
National Total		Guests	Total	Residents in Spain	2009M04	361.748
National Total		Guests	Total	Residents in Spain	2009M03	145.463
National Total		Guests	Total	Residents in Spain	2009M02	82.247
National Total		Guests	Total	Residents in Spain	2009M01	61.626
National Total		Guests	Total	Residents in Spain	2008M12	89.720
National Total		Guests	Total	Residents in Spain	2008M11	93.660
National Total		Guests	Total	Residents in Spain	2008M10	151.670
National Total		Guests	Total	Residents in Spain	2008M09	346.687
National Total		Guests	Total	Residents in Spain	2008M08	1.209.348
National Total		Guests	Total	Residents in Spain	2008M07	858.443
National Total		Guests	Total	Residents in Spain	2008M06	489.605
National Total		Guests	Total	Residents in Spain	2008M05	293.385
National Total		Guests	Total	Residents in Spain	2008M04	225.033
National Total		Guests	Total	Residents in Spain	2008M03	282.555
National Total		Guests	Total	Residents in Spain	2008M02	94.379
National Total		Guests	Total	Residents in Spain	2008M01	64.089
National Total		Guests	Total	Residents in Spain	2007M12	97.068
National Total		Guests	Total	Residents in Spain	2007M11	116.868
National Total		Guests	Total	Residents in Spain	2007M10	173.625
National Total		Guests	Total	Residents in Spain	2007M09	360.652
National Total		Guests	Total	Residents in Spain	2007M08	1.186.710
National Total		Guests	Total	Residents in Spain	2007M07	892.759
National Total		Guests	Total	Residents in Spain	2007M06	522.511
National Total		Guests	Total	Residents in Spain	2007M05	278.516
National Total		Guests	Total	Residents in Spain	2007M04	412.865
National Total		Guests	Total	Residents in Spain	2007M03	157.941
National Total		Guests	Total	Residents in Spain	2007M02	85.088
National Total		Guests	Total	Residents in Spain	2007M01	61.547
National Total		Guests	Total	Residents in Spain	2006M12	117.391
National Total		Guests	Total	Residents in Spain	2006M11	97.910
National Total		Guests	Total	Residents in Spain	2006M10	167.014
National Total		Guests	Total	Residents in Spain	2006M09	374.145
National Total		Guests	Total	Residents in Spain	2006M08	1.194.813
National Total		Guests	Total	Residents in Spain	2006M07	986.822
National Total		Guests	Total	Residents in Spain	2006M06	517.780
National Total		Guests	Total	Residents in Spain	2006M05	295.309
National Total		Guests	Total	Residents in Spain	2006M04	466.252
National Total		Guests	Total	Residents in Spain	2006M03	131.249
National Total		Guests	Total	Residents in Spain	2006M02	85.344
National Total		Guests	Total	Residents in Spain	2006M01	65.346
National Total		Guests	Total	Residents in Spain	2005M12	88.972
National Total		Guests	Total	Residents in Spain	2005M11	88.926
National Total		Guests	Total	Residents in Spain	2005M10	171.122
National Total		Guests	Total	Residents in Spain	2005M09	373.759
National Total		Guests	Total	Residents in Spain	2005M08	1.298.465
National Total		Guests	Total	Residents in Spain	2005M07	1.019.819
National Total		Guests	Total	Residents in Spain	2005M06	494.639
National Total		Guests	Total	Residents in Spain	2005M05	317.087
National Total		Guests	Total	Residents in Spain	2005M04	256.875
National Total		Guests	Total	Residents in Spain	2005M03	235.675
National Total		Guests	Total	Residents in Spain	2005M02	77.505
National Total		Guests	Total	Residents in Spain	2005M01	68.505
National Total		Guests	Total	Residents in Spain	2004M12	87.666
National Total		Guests	Total	Residents in Spain	2004M11	91.781
National Total		Guests	Total	Residents in Spain	2004M10	177.535
National Total		Guests	Total	Residents in Spain	2004M09	368.749
National Total		Guests	Total	Residents in Spain	2004M08	1.335.698
National Total		Guests	Total	Residents in Spain	2004M07	956.370
National Total		Guests	Total	Residents in Spain	2004M06	509.493
National Total		Guests	Total	Residents in Spain	2004M05	291.088
National Total		Guests	Total	Residents in Spain	2004M04	397.065
National Total		Guests	Total	Residents in Spain	2004M03	126.576
